"","X.1","Country","code","GDP","C","E","P","S","X","elev","government_effectiveness","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"1",1,"Afghanistan","AFG",50189882,28.1,23.6,26.8,18.1,9.9,1884.71,0.331395626,805000,156000,13000,0.90301137,0.8,-2.411068439,0.445647597,0.135444999,106.5,"-1.354784489"
"2",2,"Albania","ALB",228244357,15.9,16.9,16.8,7.8,6.2,911.4299,0.085557945,675950.357142857,375420.689655172,24,0.46715328,1,0.485986233,0.337862045,143760741,63.6,"-0.548198819"
"3",3,"Algeria","DZA",1.4e+12,22.7,17,21,12.4,5.7,572.8028,0.477552891,675950.357142857,375420.689655172,4500,136110575,6,-1.190535188,0.773167908,0.815198064,78.8,"-0.600028992"
"4",6,"Angola","AGO",2.7e+12,20.1,20.9,24.1,16.5,5.8,1112.805,0.123668909,675950.357142857,375420.689655172,193045.151515152,930376193,0.4,-0.333232045,0.118136406,0.145493984,87.4,"-1.443890452"
"5",9,"Argentina","ARG",2.6e+12,11.4,12.7,12.8,6.5,3.9,595.62,0.159135252,675950.357142857,375420.689655172,32000,0.323873,4,-0.005121871,0.886034548,345320523,47.3,"-0.541620135"
"6",10,"Armenia","ARM",609512940,18.7,16.8,17.9,11.4,6.5,1792.034,0.198050931,8400,375420.689655172,193045.151515152,0.71829996,2,-0.2971358,0.365905493,0.562082946,71.3,"-0.523998499"
"7",12,"Australia","AUS",4.6e+13,7.5,6.3,5.4,5.8,1.3,272.4731,607114673,675950.357142857,375420.689655172,1200,112362183,5,1.032191992,923104525,361716032,26.3,"1.853449464"
"8",13,"Austria","AUT",4.2e+12,8.7,7.7,5.4,5,1.7,898.7706,572585702,675950.357142857,375420.689655172,193045.151515152,0.37967597,5,1.270700455,952464104,391321301,28.5,"1.474734902"
"9",14,"Azerbaijan","AZE",244166773,21.6,15.3,21.3,13,6.6,750.5538,0.363815427,569000,375420.689655172,193045.151515152,0.30546919,5,-0.559909523,0.672239363,0.479177833,77.8,"-1.018747091"
"10",19,"Belarus","BLR",813839984,21.5,15.2,21.9,9.1,7.3,160.8277,0.486170083,675950.357142857,375420.689655172,193045.151515152,0.94342319,5,0.179782152,0.84030503,0.442871571,75,"-0.304926783"
"11",20,"Belgium","BEL",3.1e+12,10.4,9.4,5.9,4.4,1.9,181.7746,381594181,675950.357142857,375420.689655172,193045.151515152,0.98150594,5,0.701269448,52343905,366339207,32,"1.573291898"
"12",21,"Belize","BLZ",6497950,14.2,18.9,16.5,10.8,6.6,173.3061,0.657314658,675950.357142857,375420.689655172,193045.151515152,419552828,3,0.048583075,0.745151877,520088315,67,"-0.198207378"
"13",25,"Bolivia","BOL",996187988,21.2,20.6,19.9,10.9,6.3,1192.57,0.5877074,675950.357142857,375420.689655172,190000,128588572,0.8,-0.333112091,0.055192828,0.02631977,78.9,"-0.630129397"
"14",26,"Bosnia and Herzegovina","BIH",558343508,22.6,17.2,17.3,10.9,7.9,702.2336,0.451142341,1e+05,375420.689655172,91000,0.74609375,5,-0.019179042,0.185617089,0.070975274,75.9,"-0.308030903"
"15",27,"Botswana","BWA",259445053,11.6,19.5,15,13.5,4.9,1013.629,352403283,675950.357142857,375420.689655172,2000,70403896,0.6,1.011847138,633615911,435417175,64.5,"0.854375482"
"16",28,"Brazil","BRA",4.6e+13,16.1,15.4,16.6,10.3,3,319.2997,0.139355496,675950.357142857,375420.689655172,150000,573541482,5,-0.070290133,0.049857914,471927881,61.4,"-0.338454574"
"17",30,"Brunei Darussalam","BRN",98342541,19.2,15.8,17,7.5,4.1,478.7564,86335182,675950.357142857,375420.689655172,51,948766603,5,1.261507034,472535253,0.625025094,63.6,"0.531248033"
"18",31,"Bulgaria","BGR",732006512,14.6,14.9,12.7,7.5,4.7,421.2224,787379,675950.357142857,375420.689655172,2300,0.11127487,8,0.078540899,0.046017233,366463035,54.4,"-0.246874854"
"19",32,"Burkina Faso","BFA",377391463,19.5,22.1,23.1,16.6,7.7,297.8957,0.578829587,675950.357142857,375420.689655172,193045.151515152,0.92982456,0.1,-0.787128568,0.547252774,0.351851881,89,"-0.464837611"
"20",35,"Cambodia","KHM",777820333,22.2,20.7,24.3,13.6,7.7,126.4433,0.688959599,675950.357142857,375420.689655172,151000,0.52730569,0.1,0.023174802,0.955210149,0.107750893,88.5,"-1.137763739"
"21",36,"Cameroon","CMR",942948737,25,20.9,25,15.7,6.5,667.4828,0.791034162,40000,40000,3500,0.11586385,9,-1.059252381,0.896448255,0.94434166,93.1,"-1.164003968"
"22",37,"Canada","CAN",7.9e+13,8,7.5,5.6,5,1.3,487.6221,760523319,675950.357142857,375420.689655172,5800,777781077,5,1.17550385,89068222,412359953,27.4,"1.836426377"
"23",40,"Central African Republic","CAF",2898940,29.1,24.2,28.7,18.7,9.9,635.7053,0.848332644,439000,173000,940,889338342,0.1,-2.699193239,0.695696592,0.391623259,110.6,"-1.160162926"
"24",42,"Chad","TCD",922223234,27.4,24.8,28.9,19.4,8.2,543.3225,0.495927334,71000,375420.689655172,9900,891359593,0.3,-1.568882704,0.138648629,0.331053138,108.7,"-1.315689921"
"25",44,"Chile","CHL",6.1e+12,8.3,12.2,11.2,7.2,3.1,1871.129,161331534,675950.357142857,375420.689655172,985000,733886369,8,0.447516918,43313992,5591476,42,"1.488503098"
"26",45,"China","CHN",5e+13,22,16.4,23.5,13.6,3.5,1839.95,322888315,675950.357142857,375420.689655172,3612000,0.25880106,9,-0.522584021,0.414477408,0.616668105,79,"-0.340069056"
"27",46,"Colombia","COL",7.8e+12,22.4,18.9,20.8,14.2,6.8,593.12,0.100556344,6044000,137000,20000,557638576,7,-1.114594102,0.291901916,0.043316167,83.1,"-0.368626416"
