"","X.1","Country","code","C","E","P","S","X","GDP","elev","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","government_effectiveness","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"1",1,"Afghanistan","AFG",28.2,23.9,27.6,18.4,9.8,215562179,1884.71,1174000,335000,71000,0.89382103,11.89382103,0.322988749,-2.571221828,0.504045248,0.117505312,107.9,"-1.354784489"
"2",2,"Albania","ALB",15.9,16.5,16.2,7.2,6.1,335264967,911.4299,792917.647058823,321074.642857143,4200,0.44890511,22.44890511,10404494,0.34612906,0.328226447,157129541,61.9,"-0.548198819"
"3",3,"Algeria","DZA",23.9,17.5,20.7,12.1,5.4,6.6e+12,572.8028,792917.647058823,321074.642857143,19000,133045589,3.133045589,0.500323355,-1.090159774,0.868520021,0.838549674,79.6,"-0.600028992"
"4",4,"Angola","AGO",20.5,21.2,24.5,16.3,5.6,3e+11,1112.805,792917.647058823,321074.642857143,5600,930376193,3.930376193,9.16e-05,-0.500897765,0.081933975,0.177190065,88.1,"-1.443890452"
"5",5,"Argentina","ARG",11.4,13.3,13.1,5.8,4,8.5e+12,595.62,792917.647058823,321074.642857143,36000,0.323873,14.323873,0.07490325,0.01478538,0.770812094,411753088,47.6,"-0.541620135"
"6",6,"Armenia","ARM",17.7,17,17.6,10.6,6.8,553337673,1792.034,8400,321074.642857143,171096.669642857,0.69020021,15.69020021,0.16071257,-0.252332628,0.387850553,0.536270857,69.7,"-0.523998499"
"7",7,"Australia","AUS",8.1,5.8,5.5,3.9,1,3.5e+13,272.4731,792917.647058823,321074.642857143,5700,4191453,6.004191453,564803481,0.884979844,825228572,355499983,24.3,"1.853449464"
"8",8,"Austria","AUT",8.1,7.1,4.7,4.4,1.7,8.2e+12,898.7706,792917.647058823,321074.642857143,171096.669642857,0.3118161,16.3118161,479387999,1.143079281,855263472,383440137,26,"1.474734902"
"9",9,"Azerbaijan","AZE",21,14.3,22.4,12.7,6.9,74370486,750.5538,564000,321074.642857143,171096.669642857,0.44095907,23.44095907,0.257282048,-0.729565561,0.673693717,0.552303314,77.3,"-1.018747091"
"10",10,"Bangladesh","BGD",25.7,21.4,24.3,14.7,5.7,9.5e+12,85.4761,426000,321074.642857143,531000,0.64669279,59.64669279,0.723579228,-1.212017894,0.751279891,0.512025654,91.8,"-0.886938334"
"11",11,"Belarus","BLR",21.7,14.7,21.7,9.7,7.8,454734397,160.8277,792917.647058823,321074.642857143,171096.669642857,0.01734759,28.01734759,0.458772182,0.110016517,0.812937558,0.464999676,75.6,"-0.304926783"
"12",12,"Belgium","BEL",10,9.6,5.2,4.1,1.5,5.5e+12,181.7746,792917.647058823,321074.642857143,171096.669642857,0.39431968,27.39431968,438697577,0.587094605,463508606,387346864,30.4,"1.573291898"
"13",13,"Belize","BLZ",14.2,18.6,15.6,10,6.9,42545900,173.3061,792917.647058823,321074.642857143,250,419552828,3.419552828,0.684154153,0.043097582,0.720960438,57808888,65.3,"-0.198207378"
"14",14,"Benin","BEN",16.2,20.9,20.4,14.2,7.1,90986804,273.4081,792917.647058823,321074.642857143,171096.669642857,0.94466123,23.94466123,0.621204197,-0.013513958,0.535739422,29881677,78.8,"-0.666071117"
"15",15,"Bhutan","BTN",20.4,19.4,18.1,12.9,7.9,59258653,2220.219,792917.647058823,321074.642857143,2900,628748328,2.628748328,40649128,0.974714994,522356212,0.034825899,78.7,"1.280398726"
"16",16,"Bolivia","BOL",21.1,20.4,19.8,10.5,6.2,198263,1192.57,792917.647058823,321074.642857143,11000,128588572,4.128588572,0.651944339,-0.268487215,0.141066313,0.004678981,78,"-0.630129397"
"17",17,"Bosnia and Herzegovina","BIH",22,16.9,16.9,13.4,8.2,209702864,702.2336,98000,321074.642857143,320,0.09765625,20.09765625,0.545209169,-0.402437001,0.281363338,0.098104686,77.4,"-0.308030903"
"18",18,"Botswana","BWA",12.2,19.1,14.2,12.7,4.6,430573505,1013.629,792917.647058823,321074.642857143,250,70403896,0.70403896,497423857,1.042091846,595487714,436190367,62.8,"0.854375482"
"19",19,"Brazil","BRA",16.7,15.7,16.8,10.7,2.7,8e+13,319.2997,792917.647058823,321074.642857143,59000,573541482,9.573541482,0.183996126,-0.331458092,0.147071302,458814234,62.6,"-0.338454574"
"20",20,"Brunei Darussalam","BRN",18.9,15.2,17.9,6.9,4.1,930394938,478.7564,792917.647058823,321074.642857143,171096.669642857,948766603,0.948766603,60170531,1.242662311,407984078,0.754111826,63,"0.531248033"
"21",21,"Bulgaria","BGR",14.6,15.7,12.6,7.7,4.8,199117547,421.2224,792917.647058823,321074.642857143,820,0.32958732,32.32958732,208816484,0.017322188,0.097000144,432537317,55.4,"-0.246874854"
"22",22,"Burkina Faso","BFA",20.2,22.1,23.2,16.2,7.5,419303761,297.8957,792917.647058823,321074.642857143,3700,0.92982456,21.92982456,0.586617649,-0.611107409,0.527029812,0.112959318,89.2,"-0.464837611"
"23",23,"Burundi","BDI",23.6,23,24.9,18.2,8.4,66681387,1504.207,99000,23000,3100,0.72897196,46.72897196,0.159004688,-1.939510822,0.166668534,0.288651705,98.1,"-1.258652925"
"24",24,"Cambodia","KHM",22.3,21,24.4,12.8,7.4,49954289,126.4433,792917.647058823,321074.642857143,8900,0.52730569,21.52730569,0.699413061,0.061942287,0.978473485,0.122556925,87.9,"-1.137763739"
"25",25,"Cameroon","CMR",24.8,21.5,25.2,15.8,7,916218544,667.4828,124000,71000,11000,0.11586385,13.11586385,0.773310483,-0.989607453,0.975390732,0.954875112,94.3,"-1.164003968"
"26",26,"Canada","CAN",8.6,7,4.7,4.4,1,5.5e+13,487.6221,792917.647058823,321074.642857143,13000,795332055,4.795332055,762370825,1.274697781,842076302,46702826,25.7,"1.836426377"
"27",27,"Central African Republic","CAF",29.4,24.9,29.4,18.4,9.8,83776760,635.7053,452000,210000,1100,889338342,2.889338342,0.784717083,-1.904764652,0.684809923,0.225461721,111.9,"-1.160162926"
"28",28,"Chad","TCD",26.5,25.5,28.4,19.7,8.3,888798114,543.3225,107000,36000,171096.669642857,891359593,3.891359593,0.461070895,-0.974552572,0.183280706,0.335111856,108.4,"-1.315689921"
