Country Name	Country Code	Series Name	Series Code	2015 [YR2015]
Afghanistan	AFG	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-2.571221828
Afghanistan	AFG	Government Effectiveness: Estimate	GE.EST	-1.322988749
Afghanistan	AFG	Control of Corruption: Estimate	CC.EST	-1.341970086
Afghanistan	AFG	Regulatory Quality: Estimate	RQ.EST	-0.997371137
Afghanistan	AFG	Rule of Law: Estimate	RL.EST	-1.504045248
Albania	ALB	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.34612906
Albania	ALB	Government Effectiveness: Estimate	GE.EST	0.010404494
Albania	ALB	Control of Corruption: Estimate	CC.EST	-0.479021192
Albania	ALB	Regulatory Quality: Estimate	RQ.EST	0.186667815
Albania	ALB	Rule of Law: Estimate	RL.EST	-0.328226447
Algeria	DZA	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-1.090159774
Algeria	DZA	Government Effectiveness: Estimate	GE.EST	-0.500323355
Algeria	DZA	Control of Corruption: Estimate	CC.EST	-0.662879586
Algeria	DZA	Regulatory Quality: Estimate	RQ.EST	-1.173604727
Algeria	DZA	Rule of Law: Estimate	RL.EST	-0.868520021
American Samoa	ASM	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.181357265
American Samoa	ASM	Government Effectiveness: Estimate	GE.EST	0.487578034
American Samoa	ASM	Control of Corruption: Estimate	CC.EST	1.218488932
American Samoa	ASM	Regulatory Quality: Estimate	RQ.EST	0.172452301
American Samoa	ASM	Rule of Law: Estimate	RL.EST	1.345253229
Andorra	AND	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.39128828
Andorra	AND	Government Effectiveness: Estimate	GE.EST	1.787497282
Andorra	AND	Control of Corruption: Estimate	CC.EST	1.218488932
Andorra	AND	Regulatory Quality: Estimate	RQ.EST	0.912940443
Andorra	AND	Rule of Law: Estimate	RL.EST	1.576003432
Angola	AGO	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.500897765
Angola	AGO	Government Effectiveness: Estimate	GE.EST	-1.000091553
Angola	AGO	Control of Corruption: Estimate	CC.EST	-1.394753456
Angola	AGO	Regulatory Quality: Estimate	RQ.EST	-0.909185529
Angola	AGO	Rule of Law: Estimate	RL.EST	-1.081933975
Anguilla	AIA	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.249272108
Anguilla	AIA	Government Effectiveness: Estimate	GE.EST	1.00754571
Anguilla	AIA	Control of Corruption: Estimate	CC.EST	1.218488932
Anguilla	AIA	Regulatory Quality: Estimate	RQ.EST	0.912940443
Anguilla	AIA	Rule of Law: Estimate	RL.EST	-0.039248616
Antigua and Barbuda	ATG	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.004724503
Antigua and Barbuda	ATG	Government Effectiveness: Estimate	GE.EST	0.227594227
Antigua and Barbuda	ATG	Control of Corruption: Estimate	CC.EST	0.689627349
Antigua and Barbuda	ATG	Regulatory Quality: Estimate	RQ.EST	0.374078214
Antigua and Barbuda	ATG	Rule of Law: Estimate	RL.EST	0.589894295
Argentina	ARG	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.01478538
Argentina	ARG	Government Effectiveness: Estimate	GE.EST	-0.07490325
Argentina	ARG	Control of Corruption: Estimate	CC.EST	-0.547045171
Argentina	ARG	Regulatory Quality: Estimate	RQ.EST	-0.911441922
Argentina	ARG	Rule of Law: Estimate	RL.EST	-0.770812094
Armenia	ARM	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.252332628
Armenia	ARM	Government Effectiveness: Estimate	GE.EST	-0.16071257
Armenia	ARM	Control of Corruption: Estimate	CC.EST	-0.533811212
Armenia	ARM	Regulatory Quality: Estimate	RQ.EST	0.24180688
Armenia	ARM	Rule of Law: Estimate	RL.EST	-0.387850553
Aruba	ABW	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.230921268
Aruba	ABW	Government Effectiveness: Estimate	GE.EST	0.883769929
Aruba	ABW	Control of Corruption: Estimate	CC.EST	1.29709661
Aruba	ABW	Regulatory Quality: Estimate	RQ.EST	1.371496201
Aruba	ABW	Rule of Law: Estimate	RL.EST	1.261039615
Australia	AUS	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.884979844
Australia	AUS	Government Effectiveness: Estimate	GE.EST	1.564803481
Australia	AUS	Control of Corruption: Estimate	CC.EST	1.882090449
Australia	AUS	Regulatory Quality: Estimate	RQ.EST	1.78868413
Australia	AUS	Rule of Law: Estimate	RL.EST	1.825228572
Austria	AUT	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.143079281
Austria	AUT	Government Effectiveness: Estimate	GE.EST	1.479387999
Austria	AUT	Control of Corruption: Estimate	CC.EST	1.519258499
Austria	AUT	Regulatory Quality: Estimate	RQ.EST	1.403265715
Austria	AUT	Rule of Law: Estimate	RL.EST	1.855263472
Azerbaijan	AZE	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.729565561
Azerbaijan	AZE	Government Effectiveness: Estimate	GE.EST	-0.257282048
Azerbaijan	AZE	Control of Corruption: Estimate	CC.EST	-0.929962456
Azerbaijan	AZE	Regulatory Quality: Estimate	RQ.EST	-0.254719287
Azerbaijan	AZE	Rule of Law: Estimate	RL.EST	-0.673693717
"Bahamas, The"	BHS	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.907476485
"Bahamas, The"	BHS	Government Effectiveness: Estimate	GE.EST	0.712929964
"Bahamas, The"	BHS	Control of Corruption: Estimate	CC.EST	1.135777473
"Bahamas, The"	BHS	Regulatory Quality: Estimate	RQ.EST	0.166172862
"Bahamas, The"	BHS	Rule of Law: Estimate	RL.EST	0.597127914
Bahrain	BHR	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-1.073540211
Bahrain	BHR	Government Effectiveness: Estimate	GE.EST	0.559969604
Bahrain	BHR	Control of Corruption: Estimate	CC.EST	0.138852224
Bahrain	BHR	Regulatory Quality: Estimate	RQ.EST	0.819666862
Bahrain	BHR	Rule of Law: Estimate	RL.EST	0.425056159
Bangladesh	BGD	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-1.212017894
Bangladesh	BGD	Government Effectiveness: Estimate	GE.EST	-0.723579228
Bangladesh	BGD	Control of Corruption: Estimate	CC.EST	-0.808318794
Bangladesh	BGD	Regulatory Quality: Estimate	RQ.EST	-0.899058282
Bangladesh	BGD	Rule of Law: Estimate	RL.EST	-0.751279891
Barbados	BRB	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.135361314
Barbados	BRB	Government Effectiveness: Estimate	GE.EST	1.025392413
Barbados	BRB	Control of Corruption: Estimate	CC.EST	1.490511537
Barbados	BRB	Regulatory Quality: Estimate	RQ.EST	0.565887511
Barbados	BRB	Rule of Law: Estimate	RL.EST	1.095227122
Belarus	BLR	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.110016517
Belarus	BLR	Government Effectiveness: Estimate	GE.EST	-0.458772182
Belarus	BLR	Control of Corruption: Estimate	CC.EST	-0.335035771
Belarus	BLR	Regulatory Quality: Estimate	RQ.EST	-0.9935866
Belarus	BLR	Rule of Law: Estimate	RL.EST	-0.812937558
Belgium	BEL	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.587094605
