country code,country,elev
AFG,Afghanistan,1884.71
AGO,Angola,1112.805
ALB,Albania,911.4299
ARE,United Arab Emirates,148.9142
ARG,Argentina,595.62
ARM,Armenia,1792.034
AUS,Australia,272.4731
AUT,Austria,898.7706
AZE,Azerbaijan,750.5538
BDI,Burundi,1504.207
BEL,Belgium,181.7746
BEN,Benin,273.4081
BFA,Burkina Faso,297.8957
BGD,Bangladesh,85.4761
BGR,Bulgaria,421.2224
BIH,Bosnia and Herzegovina,702.2336
BLR,Byelarus,160.8277
BLZ,Belize,173.3061
BOL,Bolivia,1192.57
BRA,Brazil,319.2997
BRN,Brunei,478.7564
BTN,Bhutan,2220.219
BWA,Botswana,1013.629
CAF,Central African Republic,635.7053
CAN,Canada,487.6221
CHE,Switzerland,1369.6
CHL,Chile,1871.129
CHN,China,1839.95
CIV,Ivory Coast,250.7441
CMR,Cameroon,667.4828
COG,Congo,430.1534
COL,Colombia,593.12
CRI,Costa Rica,746.2103
CUB,Cuba,108.2346
CYP,Cyprus,9.1667
CZE,Czech Republic,433.0312
DEU,Germany,270.8496
DJI,Djibouti,430.256
DNK,Denmark,34.2589
DOM,Dominican Republic,424.8582
DZA,Algeria,572.8028
ECU,Ecuador,1117.178
EGY,Egypt,321.5979
ERI,Eritrea,853.3859
ESP,Spain,704.6398
EST,Estonia,61.9125
ETH,Ethiopia,1330.062
FIN,Finland,164.483
FRA,France,375.12
GAB,Gabon,377.5402
GBR,United Kingdom,162.5733
GEO,Georgia,1432.375
GHA,Ghana,190.3197
GIN,Guinea,472.8062
GMB,"Gambia, The",34.4685
GNB,Guinea-Bissau,70.4717
GNQ,Equatorial Guinea,577.8627
GRC,Greece,498.576
GRL,Greenland,1792.64
GTM,Guatemala,759.6279
GUF,French Guiana,168.1815
GUY,Guyana,207.0553
HND,Honduras,684.9241
HRV,Croatia,331.5601
HTI,Haiti,470.0736
HUN,Hungary,143.5822
IDN,Indonesia,367.1235
IND,India,621.8081
IRL,Ireland,112.422
IRN,Iran,1305.438
IRQ,Iraq,312.0478
ISL,Iceland,557.4451
ISR,Israel,508.4611
ITA,Italy,538.7296
JAM,Jamaica,18.125
JOR,Jordan,812.3271
JPN,Japan,438.3172
KAZ,Kazakhstan,387.1949
KEN,Kenya,762.8491
KGZ,Kyrgyzstan,2988.048
KHM,Cambodia,126.4433
KOR,"Korea, Republic of",282.3633
KWT,Kuwait,108.2327
LAO,Laos,710.2068
LBN,Lebanon,1249.193
LBR,Liberia,243.6676
LBY,Libya,423.6434
LKA,Sri Lanka,228.2774
LSO,Lesotho,2160.854
LTU,Lithuania,110.2539
LUX,Luxembourg,325.02
LVA,Latvia,95.893
MAR,Morocco,909.5137
MDA,Moldova,139.3979
MDG,Madagascar,615.2372
MEX,Mexico,1110.936
MKD,Macedonia,741.545
MLI,Mali,343.7438
MMR,Myanmar,702.4269
MNG,Mongolia,1527.99
MON,Montenegro,1086.725
MOZ,Mozambique,345.2476
MRT,Mauritania,276.0194
MWI,Malawi,779.0389
MYS,Malaysia,419.6467
NAM,Namibia,1141.045
NER,Niger,474.3347
NGA,Nigeria,380.1505
NIC,Nicaragua,298.3099
NLD,Netherlands,30.1257
NOR,Norway,566.7679
NPL,Nepal,2565.382
NZL,New Zealand,388.3524
OMN,Oman,310.0209
PAK,Pakistan,1018.028
PAN,Panama,359.6746
PER,Peru,1555.255
PHL,Philippines,441.9939
PNG,Papua New Guinea,667.6198
POL,Poland,171.6889
PRI,Puerto Rico,261.597
PRK,"Korea, Democratic People's Repu",599.3386
PRT,Portugal,372.4704
PRY,Paraguay,178.6918
QAT,Qatar,27.8971
ROM,Romania,414.0516
RUS,Russia,372.5321
RWA,Rwanda,1598.151
SAU,Saudi Arabia,665.2062
SDN,Sudan,568.4538
SEN,Senegal,69.0371
SLE,Sierra Leone,279.3589
SLV,El Salvador,442.0164
SOM,Somalia,409.9049
SRB,Serbia,442.0694
SUR,Suriname,246.0742
SVK,Slovakia,458.604
SVN,Slovenia,492.6379
SWE,Sweden,320.0909
SWZ,Swaziland,305.4435
SYR,Syria,513.9543
TCD,Chad,543.3225
TGO,Togo,236.986
THA,Thailand,287.408
TJK,Tajikistan,3185.92
TKM,Turkmenistan,229.8245
TTO,Trinidad,83.275
TUN,Tunisia,246.5449
TUR,Turkey,1167.001
TWN,Taiwan,1150.337
TZA,"Tanzania, United Republic of",1018.109
UGA,Uganda,1200.948
UKR,Ukraine,176.7859
URY,Uruguay,109.6395
USA,United States,725.6519
UZB,Uzbekistan,420.015
VEN,Venezuela,448.6651
VNM,Vietnam,398.3443
WSH,Western Sahara,256.8514
YEM,Yemen,999.8261
ZAF,South Africa,1034.837
ZAR,Zaire,726.0577
ZMB,Zambia,1138.441
ZWE,Zimbabwe,961.7211
