,Country,score,C,E,P,S,X,code,elev,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,control_of_corruption,government_effectiveness,political_stability,rule_of_law,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,voice_and_accountability
0,Afghanistan,35.4,28.2,23.9,27.6,18.4,9.8,AFG,1884.71,1174000,335000,71000,11.89382103,11.89382103,-1.341970086,-1.322988749,-2.571221828,-1.504045248,0.07,2.11,7.6,13.37,18.22,23.2,25.26,23.77,19.03,12.99,7,2.43,12.92,-1.117505312
1,Albania,13.2,15.9,16.5,16.2,7.2,6.1,ALB,911.4299,,,4200,22.44890511,22.44890511,-0.479021192,0.010404494,0.34612906,-0.328226447,2.02,3.22,6.04,9.92,14.44,17.93,20.54,20.48,17.16,12.27,7.58,3.65,11.27,0.157129541
2,Algeria,8.7,23.9,17.5,20.7,12.1,5.4,DZA,572.8028,,,19000,3.133045589,3.133045589,-0.662879586,-0.500323355,-1.090159774,-0.868520021,12.12,14.79,17.91,21.94,26.41,30.8,32.54,31.97,28.82,23.34,17.31,12.95,22.58,-0.838549674
3,Angola,32.6,20.5,21.2,24.5,16.3,5.6,AGO,1112.805,,,5600,3.930376193,3.930376193,-1.394753456,-1.000091553,-0.500897765,-1.081933975,22.58,22.68,22.78,22.35,20.74,18.37,17.95,19.9,22.19,23.18,22.79,22.61,21.51,-1.177190065
4,Argentina,5,11.4,13.3,13.1,5.8,4,ARG,595.62,,,36000,14.323873,14.323873,-0.547045171,-0.07490325,0.01478538,-0.770812094,20.8,19.9,17.51,14.05,10.65,7.66,7.42,9.02,11.53,14.67,17.54,19.83,14.22,0.411753088
5,Armenia,11.2,17.7,17,17.6,10.6,6.8,ARM,1792.034,8400,,,15.69020021,15.69020021,-0.533811212,-0.16071257,-0.252332628,-0.387850553,-8.66,-6.65,-0.57,6.62,11.43,15.58,19.82,19.28,14.97,7.92,1.62,-4.87,6.37,-0.536270857
6,Azerbaijan,10,21,14.3,22.4,12.7,6.9,AZE,750.5538,564000,,,23.44095907,23.44095907,-0.929962456,-0.257282048,-0.729565561,-0.673693717,-0.2,0.8,4.97,11.64,16.8,21.73,24.76,24.11,19.83,12.88,7.33,2.03,12.22,-1.552303314
7,Bahrain,,21.5,11.8,18.5,7.2,5.3,BHR,,,,,2.075226978,2.075226978,0.138852224,0.559969604,-1.073540211,0.425056159,,,,,,,,,,,,,,-1.312996626
8,Bangladesh,27.3,25.7,21.4,24.3,14.7,5.7,BGD,85.4761,426000,,531000,59.64669279,59.64669279,-0.808318794,-0.723579228,-1.212017894,-0.751279891,18.63,21.02,25.42,28.02,28.45,28.46,28.3,28.39,28.36,27.17,23.7,19.74,25.47,-0.512025654
9,Belarus,5,21.7,14.7,21.7,9.7,7.8,BLR,160.8277,,,,28.01734759,28.01734759,-0.335035771,-0.458772182,0.110016517,-0.812937558,-6.8,-5.5,-0.69,6.92,13.44,16.54,17.72,16.95,12.42,6.9,1.21,-3.58,6.29,-1.464999676
10,Benin,21.8,16.2,20.9,20.4,14.2,7.1,BEN,273.4081,,,,23.94466123,23.94466123,-0.560777724,-0.621204197,-0.013513958,-0.535739422,26.57,28.69,30.14,30.2,28.93,27.13,25.84,25.44,25.9,27.15,27.15,26.39,27.46,0.29881677
11,Bhutan,,20.4,19.4,18.1,12.9,7.9,BTN,2220.219,,,2900,2.628748328,2.628748328,1.022311449,0.40649128,0.974714994,0.522356212,0.56,2.17,5.68,8.78,11.53,14.39,14.8,14.59,13.35,9.69,5.29,2.07,8.58,-0.034825899
12,Bolivia,16.9,21.1,20.4,19.8,10.5,6.2,Unknown code,,,,,,4.128588572,,,,,,,,,,,,,,,,,,
