,Country_x,code,GDP,C,E,P,S,X,elev,government_effectiveness,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,political_stability,rule_of_law,Country_y,voice_and_accountability
0,Afghanistan,AFG,20050189882,28.1,23.6,26.8,18.1,9.9,1884.71,-1.331395626,805000,156000,13000,11.90301137,23.8,-2.411068439,-1.445647597,Afghanistan,-1.135444999
1,Albania,ALB,13228244357,15.9,16.9,16.8,7.8,6.2,911.4299,-0.085557945,,,24,22.46715328,5.1,0.485986233,-0.337862045,Albania,0.143760741
2,Algeria,DZA,2.14E+11,22.7,17,21,12.4,5.7,572.8028,-0.477552891,,,4500,3.136110575,4.6,-1.190535188,-0.773167908,Algeria,-0.815198064
3,American Samoa,ASM,643000000,,,,,,,0.441491038,,,,15,..,1.08068347,1.410082817,American Samoa,..
4,Andorra,AND,3350736367,,,,,,,1.718335867,,,,1.723404255,..,1.286593318,1.641952872,Andorra,1.165938854
5,Angola,AGO,1.27E+11,20.1,20.9,24.1,16.5,5.8,1112.805,-1.123668909,,,,3.930376193,14.4,-0.333232045,-1.118136406,Angola,-1.145493984
6,Antigua and Barbuda,ATG,1280133333,12.7,17.4,14.6,8.2,6.1,,-0.069246948,,,,9.090909091,27.2,0.984550714,-0.177203804,Antigua and Barbuda,0.558710754
7,Arab World,ARB,2.91E+12,,,,,,,,,,,4.354083116,10.69056089,,,,
8,Argentina,ARG,5.26E+11,11.4,12.7,12.8,6.5,3.9,595.62,-0.159135252,,,32000,14.323873,3.4,-0.005121871,-0.886034548,Argentina,0.345320523
9,Armenia,ARM,11609512940,18.7,16.8,17.9,11.4,6.5,1792.034,-0.198050931,8400,,,15.71829996,4.2,-0.2971358,-0.365905493,Armenia,-0.562082946
10,Aruba,ABW,..,,,,,,,0.891651392,,,,11.11111111,..,1.164567828,1.038311601,Aruba,1.276822448
11,Australia,AUS,1.46E+12,7.5,6.3,5.4,5.8,1.3,272.4731,1.607114673,,,1200,6.112362183,2.5,1.032191992,1.923104525,Australia,1.361716032
12,Austria,AUT,4.42E+11,8.7,7.7,5.4,5,1.7,898.7706,1.572585702,,,,16.37967597,2.5,1.270700455,1.952464104,Austria,1.391321301
13,Azerbaijan,AZE,75244166773,21.6,15.3,21.3,13,6.6,750.5538,-0.363815427,569000,,,23.30546919,2.5,-0.559909523,-0.672239363,Azerbaijan,-1.479177833
14,"Bahamas, The",BHS,10843800000,13.2,15.3,12.4,9.2,4,,0.728960156,,,,0.799200799,10.3,0.956470132,0.665428877,"Bahamas, The",1.047353506
15,Bahrain,BHR,33387712766,20.9,12.2,18.2,7.8,5.6,,0.565039575,,,,2.075226978,..,-0.907474875,0.413719535,Bahrain,-1.311062574
16,Bangladesh,BGD,1.73E+11,25.8,21.7,24.8,14.5,6,85.4761,-0.765750408,426000,,543000,58.91526465,16,-0.895563185,-0.777665257,Bangladesh,-0.473929763
17,Barbados,BRB,4608350000,12.8,17.1,9.1,7.1,5.3,,1.204713941,,,,25.58139535,4.5,1.277919888,1.08249259,Barbados,1.145061851
18,Belarus,BLR,78813839984,21.5,15.2,21.9,9.1,7.3,160.8277,-0.486170083,,,,27.94342319,2.5,0.179782152,-0.84030503,Belarus,-1.442871571
19,Belgium,BEL,5.31E+11,10.4,9.4,5.9,4.4,1.9,181.7746,1.381594181,,,,26.98150594,2.5,0.701269448,1.52343905,Belgium,1.366339207
20,Belize,BLZ,1706497950,14.2,18.9,16.5,10.8,6.6,173.3061,-0.657314658,,,,3.419552828,6.3,0.048583075,-0.745151877,Belize,0.520088315
21,Benin,BEN,9707432016,15.6,20.6,19.9,14.5,7.6,273.4081,-0.456818074,,,,23.94466123,10,0.027139762,-0.488022417,Benin,0.266302288
22,Bermuda,BMU,..,,,,,,,0.952229023,,,,6,12.5,0.913897812,0.018862573,Bermuda,..
23,Bhutan,BTN,1944782821,20.4,20.3,19.1,13.5,7.6,2220.219,0.256147236,,,,2.628748328,..,1.068038583,0.379015028,Bhutan,-0.102953024
24,Bolivia,BOL,32996187988,21.2,20.6,19.9,10.9,6.3,1192.57,-0.5877074,,,190000,4.128588572,20.8,-0.333112091,-1.055192828,Bolivia,-0.02631977
25,Bosnia and Herzegovina,BIH,18558343508,22.6,17.2,17.3,10.9,7.9,702.2336,-0.451142341,100000,,91000,19.74609375,2.5,-0.019179042,-0.185617089,Bosnia and Herzegovina,-0.070975274
