country_name,country_code,political_stability
Afghanistan,AFG,-2.571221828
Albania,ALB,0.34612906
Algeria,DZA,-1.090159774
American Samoa,ASM,1.181357265
Andorra,AND,1.39128828
Angola,AGO,-0.500897765
Anguilla,AIA,1.249272108
Antigua and Barbuda,ATG,1.004724503
Argentina,ARG,0.01478538
Armenia,ARM,-0.252332628
Aruba,ABW,1.230921268
Australia,AUS,0.884979844
Austria,AUT,1.143079281
Azerbaijan,AZE,-0.729565561
"Bahamas, The",BHS,0.907476485
Bahrain,BHR,-1.073540211
Bangladesh,BGD,-1.212017894
Barbados,BRB,1.135361314
Belarus,BLR,0.110016517
Belgium,BEL,0.587094605
Belize,BLZ,0.043097582
Benin,BEN,-0.013513958
Bermuda,BMU,0.983049035
Bhutan,BTN,0.974714994
Bolivia,BOL,-0.268487215
Bosnia and Herzegovina,BIH,-0.402437001
Botswana,BWA,1.042091846
Brazil,BRA,-0.331458092
Brunei Darussalam,BRN,1.242662311
Bulgaria,BGR,0.017322188
Burkina Faso,BFA,-0.611107409
Burundi,BDI,-1.939510822
Cabo Verde,CPV,0.867810428
Cambodia,KHM,0.061942287
Cameroon,CMR,-0.989607453
Canada,CAN,1.274697781
Cayman Islands,CYM,1.153417587
Central African Republic,CAF,-1.904764652
Chad,TCD,-0.974552572
Chile,CHL,0.433439225
China,CHN,-0.550294638
Colombia,COL,-1.069146633
Comoros,COM,-0.232791469
"Congo, Dem. Rep.",COD,-2.150854349
"Congo, Rep.",COG,-0.526365995
Cook Islands,COK,..
Costa Rica,CRI,0.682025492
Cote d'Ivoire,CIV,-0.832545936
Croatia,HRV,0.590728045
Cuba,CUB,0.644101679
Cyprus,CYP,0.550866485
Czech Republic,CZE,0.979189098
Denmark,DNK,0.897649825
Djibouti,DJI,-0.443531573
Dominica,DMA,1.077941298
Dominican Republic,DOM,0.236706421
Ecuador,ECU,-0.143955871
"Egypt, Arab Rep.",EGY,-1.496645689
El Salvador,SLV,-0.016997365
Equatorial Guinea,GNQ,-0.205352426
Eritrea,ERI,-0.876751304
Estonia,EST,0.620919824
Ethiopia,ETH,-1.498187423
Fiji,FJI,0.580308676
Finland,FIN,1.040587306
France,FRA,0.106706373
French Guiana,GUF,0.568954766
Gabon,GAB,0.021186959
"Gambia, The",GMB,0.019588569
Georgia,GEO,-0.466081887
Germany,DEU,0.699824274
Ghana,GHA,-0.032099333
Greece,GRC,-0.230252355
Greenland,GRL,1.943137646
Grenada,GRD,0.790708482
Guam,GUM,0.807903051
Guatemala,GTM,-0.655060232
Guinea,GIN,-0.386988342
Guinea-Bissau,GNB,-0.518216372
Guyana,GUY,-0.139650807
Haiti,HTI,-0.670838177
Honduras,HND,-0.468914419
"Hong Kong SAR, China",HKG,1.04629457
Hungary,HUN,0.746297717
Iceland,ISL,1.308164477
India,IND,-0.948493361
Indonesia,IDN,-0.615060687
"Iran, Islamic Rep.",IRN,-0.925701737
Iraq,IRQ,-2.260351896
Ireland,IRL,0.908455491
Israel,ISR,-1.094912767
Italy,ITA,0.3759197
Jamaica,JAM,0.096484482
Japan,JPN,1.06512773
"Jersey, Channel Islands",JEY,1.529619813
Jordan,JOR,-0.605778575
Kazakhstan,KAZ,-0.035000283
Kenya,KEN,-1.244405627
Kiribati,KIR,0.843560576
"Korea, Dem. PeopleÍs Rep.",PRK,-1.153404713
"Korea, Rep.",KOR,0.161014125
Kosovo,XKX,-0.199357048
Kuwait,KWT,-0.213420272
Kyrgyz Republic,KGZ,-0.882437944
Lao PDR,LAO,0.541362047
Latvia,LVA,0.443747222
Lebanon,LBN,-1.702586532
Lesotho,LSO,-0.308428764
Liberia,LBR,-0.818025708
Libya,LBY,-2.196628332
