code,political_stability
AFG,-2.571221828
ALB,0.34612906
DZA,-1.090159774
ASM,1.181357265
AND,1.39128828
AGO,-0.500897765
AIA,1.249272108
ATG,1.004724503
ARG,0.01478538
ARM,-0.252332628
ABW,1.230921268
AUS,0.884979844
AUT,1.143079281
AZE,-0.729565561
BHS,0.907476485
BHR,-1.073540211
BGD,-1.212017894
BRB,1.135361314
BLR,0.110016517
BEL,0.587094605
BLZ,0.043097582
BEN,-0.013513958
BMU,0.983049035
BTN,0.974714994
BOL,-0.268487215
BIH,-0.402437001
BWA,1.042091846
BRA,-0.331458092
BRN,1.242662311
BGR,0.017322188
BFA,-0.611107409
BDI,-1.939510822
CPV,0.867810428
KHM,0.061942287
CMR,-0.989607453
CAN,1.274697781
CYM,1.153417587
CAF,-1.904764652
TCD,-0.974552572
CHL,0.433439225
CHN,-0.550294638
COL,-1.069146633
COM,-0.232791469
COD,-2.150854349
COG,-0.526365995
COK,..
CRI,0.682025492
CIV,-0.832545936
HRV,0.590728045
CUB,0.644101679
CYP,0.550866485
CZE,0.979189098
DNK,0.897649825
DJI,-0.443531573
DMA,1.077941298
DOM,0.236706421
ECU,-0.143955871
EGY,-1.496645689
SLV,-0.016997365
GNQ,-0.205352426
ERI,-0.876751304
EST,0.620919824
ETH,-1.498187423
FJI,0.580308676
FIN,1.040587306
FRA,0.106706373
GUF,0.568954766
GAB,0.021186959
GMB,0.019588569
GEO,-0.466081887
DEU,0.699824274
GHA,-0.032099333
GRC,-0.230252355
GRL,1.943137646
GRD,0.790708482
GUM,0.807903051
GTM,-0.655060232
GIN,-0.386988342
GNB,-0.518216372
GUY,-0.139650807
HTI,-0.670838177
HND,-0.468914419
HKG,1.04629457
HUN,0.746297717
ISL,1.308164477
IND,-0.948493361
IDN,-0.615060687
IRN,-0.925701737
IRQ,-2.260351896
IRL,0.908455491
ISR,-1.094912767
ITA,0.3759197
JAM,0.096484482
JPN,1.06512773
JEY,1.529619813
JOR,-0.605778575
KAZ,-0.035000283
KEN,-1.244405627
KIR,0.843560576
PRK,-1.153404713
KOR,0.161014125
XKX,-0.199357048
KWT,-0.213420272
KGZ,-0.882437944
LAO,0.541362047
LVA,0.443747222
LBN,-1.702586532
LSO,-0.308428764
LBR,-0.818025708
LBY,-2.196628332
LIE,1.457840443
LTU,0.759793997
LUX,1.439398408
MAC,1.202256441
MKD,-0.287016064
MDG,-0.427362889
MWI,0.031896148
MYS,0.258957565
MDV,0.420671523
MLI,-1.685663939
MLT,1.063938618
MHL,0.919473767
MTQ,0.983049035
MRT,-0.63780123
MUS,0.998615384
MEX,-0.798699081
FSM,1.035154104
MDA,-0.327440172
MCO,0.991801858
MNG,0.716384351
MNE,0.140797719
MAR,-0.341487437
MOZ,-0.513895094
MMR,-1.165066719
NAM,0.733112812
NRU,0.54376024
NPL,-0.998334587
NLD,0.926119328
ANT,..
NZL,1.525453329
NIC,-0.086607538
NER,-1.066546202
NGA,-1.925442815
NIU,..
NOR,1.161716104
OMN,0.783339798
PAK,-2.482707977
PLW,0.919473767
PAN,0.386077255
PNG,-0.422148317
PRY,0.038498022
PER,-0.397571415
PHL,-0.855662465
POL,0.874852359
PRT,0.917840123
PRI,0.855120778
QAT,0.996630371
REU,0.285934329
ROU,0.189114437
RUS,-1.029335141
RWA,0.013241149
WSM,1.183973908
SMR,0.919473767
STP,0.144042566
SAU,-0.626398981
SEN,-0.116664805
SRB,0.238982022
SYC,0.688779771
SLE,-0.102516763
SGP,1.311752796
SVK,0.874545217
SVN,0.953392744
SLB,0.660984755
SOM,-2.380827904
ZAF,-0.212992936
SSD,-2.37568903
ESP,0.251491189
LKA,0.090368114
KNA,0.582326353
LCA,0.853690803
VCT,1.004724503
SDN,-2.162183285
SUR,0.256688297
SWZ,-0.476151049
SWE,0.947106421
CHE,1.339359045
SYR,-2.974081039
TWN,0.920499682
TJK,-0.882642269
TZA,-0.41619435
THA,-0.99442929
TLS,-0.271886349
TGO,-0.231348053
TON,0.88633436
TTO,0.286114305
TUN,-0.96038723
TUR,-1.493914008
TKM,-0.087798864
TUV,1.39128828
UGA,-0.804501653
UKR,-1.961800098
ARE,0.759545386
GBR,0.517747939
USA,0.678062379
URY,1.004238248
UZB,-0.373036414
VUT,0.478408933
VEN,-0.977180898
VNM,0.069970489
VIR,1.249272108
PSE,-2.160502195
YEM,-2.680221558
ZMB,0.151694864
ZWE,-0.618156314
