code,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements
AB9,82000,,
AFG,1174000,335000,71000
AGO,,,5600
ALB,,,4200
ARG,,,36000
ARM,8400,,
AUS,,,5700
AZE,564000,,
BDI,99000,23000,3100
BFA,,,3700
BGD,426000,,531000
BGR,,,820
BHS,,,2800
BIH,98000,,320
BLZ,,,250
BOL,,,11000
BRA,,,59000
BTN,,,2900
BWA,,,250
CAF,452000,210000,1100
CAN,,,13000
CHE,,,360
CHL,,,1047000
CHN,,,3602000
CIV,303000,3200,
CMR,124000,71000,11000
COD,1500000,621000,106000
COG,7800,,
COL,6270000,224000,4600
CPV,,,190
CRI,,,1100
CUB,,,2000
CYP,272000,,
DMA,,,710
DOM,,,28000
DZA,,,19000
ECU,,,1900
EGY,78000,78000,100
ESP,,,4100
ETH,450000,56000,104000
FRA,,,120
FSM,,,6800
GBR,,,6100
GEO,239000,,1200
GHA,,,9300
GIN,,,34000
GRC,,,270
GTM,251000,,2900
HND,174000,,2000
HRV,,,1000
HTI,,,1500
IDN,6100,150,204000
IND,612000,1000,3655000
IRL,,,1600
IRN,,,5400
IRQ,3290000,1114000,23000
ISR,,,
ITA,,,1300
JPN,,,486000
KAZ,,,19000
KEN,309000,,105000
KGZ,,,5900
KHM,,,8900
KIR,,,2500
LAO,,,12000
LBN,12000,3000,110
LBY,500000,100000,
LKA,44000,,66000
MDG,,,87000
MEX,287000,6000,91000
MKD,200,,
MLI,50000,,400
MMR,644000,16000,1618000
MNG,,,810
MOZ,,,61000
MUS,,,1400
MWI,,,343000
MYS,,,21000
NAM,,,8
NER,153000,47000,38000
NGA,2096000,737000,100000
NIC,,,1100
NOR,,,220
NPL,50000,,2623000
NZL,,,440
PAK,1459000,,1002000
PAN,,,100
PER,60000,,8400
PHL,62000,288000,2221000
PNG,6300,,
PRK,,,6000
PRT,,,10
PRY,,,171000
PSE,221000,740,10000
ROU,,,160
RUS,27000,,6600
RWA,,,2000
SDN,3182000,144000,8300
SEN,24000,,
SLB,,,1000
SLV,,170000,2000
SOM,1223000,90000,59000
SSD,1697000,199000,15000
SWE,,,100
SYR,6600000,1300000,
TCD,107000,36000,
TGO,3000,,5000
THA,35000,,240
TJK,,,11000
TLS,,,310
TUN,,,120
TUR,954000,,1500
TUV,,,5400
TWN,,,27000
TZA,,,3500
UGA,30000,,600
UKR,1679000,942000,
URY,,,24000
USA,,,63000
VEN,,,45000
VNM,,,9600
VUT,,,65000
WSM,,,970
XKX,17000,,
YEM,2509000,2175000,83000
ZAF,,,14
ZMB,,,25
ZWE,,,800
