Country,code,GDP
Afghanistan,AFG,20050189882
Albania,ALB,13228244357
Algeria,DZA,2.1381E+11
American Samoa,ASM,643000000
Andorra,AND,3350736367
Angola,AGO,1.26777E+11
Antigua and Barbuda,ATG,1280133333
Arab World,ARB,2.90662E+12
Argentina,ARG,5.2632E+11
Armenia,ARM,11609512940
Aruba,ABW,..
Australia,AUS,1.4596E+12
Austria,AUT,4.41885E+11
Azerbaijan,AZE,75244166773
"Bahamas, The",BHS,10843800000
Bahrain,BHR,33387712766
Bangladesh,BGD,1.72885E+11
Barbados,BRB,4608350000
Belarus,BLR,78813839984
Belgium,BEL,5.31076E+11
Belize,BLZ,1706497950
Benin,BEN,9707432016
Bermuda,BMU,..
Bhutan,BTN,1944782821
Bolivia,BOL,32996187988
Bosnia and Herzegovina,BIH,18558343508
Botswana,BWA,16259445053
Brazil,BRA,2.45599E+12
British Virgin Islands,VGB,..
Brunei Darussalam,BRN,17098342541
Bulgaria,BGR,56732006512
Burkina Faso,BFA,12377391463
Burundi,BDI,3093647227
Cabo Verde,CPV,1858121723
Cambodia,KHM,16777820333
Cameroon,CMR,34942948737
Canada,CAN,1.79288E+12
Caribbean small states,CSS,71392784817
Cayman Islands,CYM,..
Central African Republic,CAF,1702898940
Central Europe and the Baltics,CEB,1.46336E+12
Chad,TCD,13922223234
Channel Islands,CHI,..
Chile,CHL,2.6099E+11
China,CHN,1.04824E+13
Colombia,COL,3.78196E+11
Comoros,COM,647720707.1
"Congo, Dem. Rep.",COD,34028119333
"Congo, Rep.",COG,14177437982
Costa Rica,CRI,50656002896
Cote d'Ivoire,CIV,35372603446
Croatia,HRV,57080369368
Cuba,CUB,80656100000
Curacao,CUW,..
Cyprus,CYP,23359294149
Czech Republic,CZE,2.07818E+11
Denmark,DNK,3.52994E+11
Djibouti,DJI,1588000000
Dominica,DMA,523666347.4
Dominican Republic,DOM,65231032303
Early-demographic dividend,EAR,1.05299E+13
East Asia & Pacific,EAS,2.19E+13
East Asia & Pacific (excluding high income),EAP,1.27541E+13
East Asia & Pacific (IDA & IBRD countries),TEA,1.27295E+13
Ecuador,ECU,1.01726E+11
"Egypt, Arab Rep.",EGY,3.0553E+11
El Salvador,SLV,25054230000
Equatorial Guinea,GNQ,21736500713
Eritrea,ERI,..
Estonia,EST,26224622451
Ethiopia,ETH,55612228234
Euro area,EMU,1.34765E+13
Europe & Central Asia,ECS,2.36547E+13
Europe & Central Asia (excluding high income),ECA,4.07885E+12
Europe & Central Asia (IDA & IBRD countries),TEC,4.62392E+12
European Union,EUU,1.86324E+13
Faroe Islands,FRO,2810547884
Fiji,FJI,4469573275
Finland,FIN,2.72609E+11
Fragile and conflict affected situations,FCS,8.52106E+11
France,FRA,2.84931E+12
French Polynesia,PYF,..
Gabon,GAB,18179717776
"Gambia, The",GMB,833240810.2
Georgia,GEO,16509305828
Germany,DEU,3.89061E+12
Ghana,GHA,38616536132
Gibraltar,GIB,..
Greece,GRC,2.3703E+11
Greenland,GRL,2551126949
Grenada,GRD,911481481.5
Guam,GUM,5531000000
Guatemala,GTM,58722323918
Guinea,GIN,8791353805
Guinea-Bissau,GNB,1055186196
Guyana,GUY,3077643314
Haiti,HTI,8776360623
Heavily indebted poor countries (HIPC),HPC,6.478E+11
High income,HIC,5.03624E+13
Honduras,HND,19756494435
"Hong Kong SAR, China",HKG,2.91459E+11
Hungary,HUN,1.40118E+11
IBRD only,IBD,2.73966E+13
Iceland,ISL,17178962757
IDA & IBRD total,IBT,2.94825E+13
IDA blend,IDB,1.05262E+12
IDA only,IDX,1.0306E+12
IDA total,IDA,2.09467E+12
India,IND,2.03539E+12
Indonesia,IDN,8.90815E+11
"Iran, Islamic Rep.",IRN,4.34475E+11
Iraq,IRQ,2.34648E+11
Ireland,IRL,2.58099E+11
Isle of Man,IMN,7428280402
Israel,ISR,3.08417E+11
Italy,ITA,2.15173E+12
Jamaica,JAM,13897723431
Japan,JPN,4.84873E+12
Jordan,JOR,35826925775
Kazakhstan,KAZ,2.21416E+11
Kenya,KEN,61445345999
Kiribati,KIR,178869341.2
"Korea, Dem. People’s Rep.",PRK,..
"Korea, Rep.",KOR,1.41133E+12
Kosovo,XKX,7386891336
Kuwait,KWT,1.62632E+11
Kyrgyz Republic,KGZ,7468096567
Lao PDR,LAO,13268458232
Late-demographic dividend,LTE,1.97031E+13
Latin America & Caribbean,LCN,6.39155E+12
Latin America & Caribbean (excluding high income),LAC,5.90552E+12
Latin America & the Caribbean (IDA & IBRD countries),TLA,6.17139E+12
Latvia,LVA,31419072948
Least developed countries: UN classification,LDC,9.38326E+11
Lebanon,LBN,47833413749
Lesotho,LSO,2614566292
Liberia,LBR,2013000000
Libya,LBY,..
Liechtenstein,LIE,6657170923
Lithuania,LTU,48545251796
Low & middle income,LMY,2.87048E+13
Low income,LIC,4.11931E+11
Lower middle income,LMC,6.07654E+12
Luxembourg,LUX,66327344189
"Macao SAR, China",MAC,55347998648
"Macedonia, FYR",MKD,11362272838
Madagascar,MDG,10673516673
Malawi,MWI,6054750320
Malaysia,MYS,3.38062E+11
Maldives,MDV,3697351594
Mali,MLI,14388360064
Malta,MLT,11217780149
Marshall Islands,MHL,183121300
Mauritania,MRT,5391475277
Mauritius,MUS,12803445934
Mexico,MEX,1.29846E+12
"Micronesia, Fed. Sts.",FSM,317999400
Middle East & North Africa,MEA,3.56356E+12
Middle East & North Africa (excluding high income),MNA,1.59156E+12
Middle East & North Africa (IDA & IBRD countries),TMN,1.5787E+12
Middle income,MIC,2.82928E+13
Moldova,MDA,7983271111
Monaco,MCO,..
Mongolia,MNG,12226514722
Montenegro,MNE,4587928884
Morocco,MAR,1.10081E+11
Mozambique,MOZ,16961127046
Myanmar,MMR,65446402659
Namibia,NAM,12786078004
Nauru,NRU,117020381.9
Nepal,NPL,20002968838
Netherlands,NLD,8.79635E+11
New Caledonia,NCL,..
New Zealand,NZL,2.00696E+11
Nicaragua,NIC,11880438824
Niger,NER,8229730067
Nigeria,NGA,5.68499E+11
North America,NAC,1.91918E+13
Northern Mariana Islands,MNP,845000000
Norway,NOR,4.99339E+11
Not classified,INX,..
OECD members,OED,4.93701E+13
Oman,OMN,81034395059
Other small states,OSS,4.44728E+11
Pacific island small states,PSS,8769297682
Pakistan,PAK,2.44361E+11
Palau,PLW,246436300
Panama,PAN,49165773100
Papua New Guinea,PNG,23003575201
Paraguay,PRY,30881166852
Peru,PER,2.0105E+11
Philippines,PHL,2.84585E+11
Poland,POL,5.45076E+11
Portugal,PRT,2.2963E+11
Post-demographic dividend,PST,4.6735E+13
Pre-demographic dividend,PRE,1.49697E+12
Puerto Rico,PRI,..
Qatar,QAT,2.06225E+11
Romania,ROU,1.99493E+11
Russian Federation,RUS,2.06366E+12
Rwanda,RWA,8016288347
Samoa,WSM,803589511.8
San Marino,SMR,1845561895
Sao Tome and Principe,STP,348899846.1
Saudi Arabia,SAU,7.5635E+11
Senegal,SEN,15304363138
Serbia,SRB,44210806366
Seychelles,SYC,1422530792
Sierra Leone,SLE,5015180977
Singapore,SGP,3.08143E+11
Sint Maarten (Dutch part),SXM,..
Slovak Republic,SVK,1.00948E+11
Slovenia,SVN,49904928335
Small states,SST,5.2489E+11
Solomon Islands,SLB,1156563123
Somalia,SOM,5647000000
South Africa,ZAF,3.51119E+11
South Asia,SAS,2.57769E+12
South Asia (IDA & IBRD),TSA,2.57769E+12
South Sudan,SSD,13282084034
Spain,ESP,1.37691E+12
Sri Lanka,LKA,79356456990
St. Kitts and Nevis,KNA,847778185.2
St. Lucia,LCA,1551921037
St. Martin (French part),MAF,..
St. Vincent and the Grenadines,VCT,727230734.8
Sub-Saharan Africa,SSF,1.78029E+12
Sub-Saharan Africa (excluding high income),SSA,1.77886E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.78029E+12
Sudan,SDN,82151588419
Suriname,SUR,5240606061
Swaziland,SWZ,4377293816
Sweden,SWE,5.73818E+11
Switzerland,CHE,7.09183E+11
Syrian Arab Republic,SYR,..
Tajikistan,TJK,9236309138
Tanzania,TZA,48197218327
Thailand,THA,4.06522E+11
Timor-Leste,TLS,1450600000
Togo,TGO,4482880424
Tonga,TON,443911052.3
Trinidad and Tobago,TTO,26175952942
Tunisia,TUN,47587913059
Turkey,TUR,9.34168E+11
Turkmenistan,TKM,43524210526
Turks and Caicos Islands,TCA,..
Tuvalu,TUV,37259689.92
Uganda,UGA,27295207928
Ukraine,UKR,1.33503E+11
United Arab Emirates,ARE,4.03198E+11
United Kingdom,GBR,3.02283E+12
United States,USA,1.73931E+13
Upper middle income,UMC,2.22122E+13
Uruguay,URY,57236013078
Uzbekistan,UZB,63067077179
Vanuatu,VUT,814954307
"Venezuela, RB",VEN,4.82359E+11
Vietnam,VNM,1.86205E+11
Virgin Islands (U.S.),VIR,3624000000
West Bank and Gaza,PSE,12715600000
World,WLD,7.90492E+13
"Yemen, Rep.",YEM,43228583935
Zambia,ZMB,27150630607
Zimbabwe,ZWE,15891049236
