Country,code,control_corruption
Afghanistan,AFG,-1.354784489
Albania,ALB,-0.548198819
Algeria,DZA,-0.600028992
American Samoa,ASM,1.225221634
Andorra,AND,1.225221634
Angola,AGO,-1.443890452
Anguilla,AIA,1.225221634
Antigua and Barbuda,ATG,0.63990289
Argentina,ARG,-0.541620135
Armenia,ARM,-0.523998499
Aruba,ABW,1.018918037
Australia,AUS,1.853449464
Austria,AUT,1.474734902
Azerbaijan,AZE,-1.018747091
"Bahamas, The",BHS,1.313176751
Bahrain,BHR,0.278830528
Bangladesh,BGD,-0.886938334
Barbados,BRB,1.138042569
Belarus,BLR,-0.304926783
Belgium,BEL,1.573291898
Belize,BLZ,-0.198207378
Benin,BEN,-0.666071117
Bermuda,BMU,1.225221634
Bhutan,BTN,1.280398726
Bolivia,BOL,-0.630129397
Bosnia and Herzegovina,BIH,-0.308030903
Botswana,BWA,0.854375482
Brazil,BRA,-0.338454574
Brunei Darussalam,BRN,0.531248033
Bulgaria,BGR,-0.246874854
Burkina Faso,BFA,-0.464837611
Burundi,BDI,-1.258652925
Cabo Verde,CPV,0.938025832
Cambodia,KHM,-1.137763739
Cameroon,CMR,-1.164003968
Canada,CAN,1.836426377
Cayman Islands,CYM,1.018918037
Central African Republic,CAF,-1.160162926
Chad,TCD,-1.315689921
Chile,CHL,1.488503098
China,CHN,-0.340069056
Colombia,COL,-0.368626416
Comoros,COM,-0.612202406
"Congo, Dem. Rep.",COD,-1.300998688
"Congo, Rep.",COG,-1.178786755
Cook Islands,COK,..
Costa Rica,CRI,0.755439758
Cote d'Ivoire,CIV,-0.419152915
Croatia,HRV,0.219041422
Cuba,CUB,0.068400934
Cyprus,CYP,1.075781465
Czech Republic,CZE,0.36779505
Denmark,DNK,2.247260332
Djibouti,DJI,-0.599377871
Dominica,DMA,0.624051988
Dominican Republic,DOM,-0.816102564
Ecuador,ECU,-0.754930556
"Egypt, Arab Rep.",EGY,-0.624814928
El Salvador,SLV,-0.376873732
Equatorial Guinea,GNQ,-1.772761345
Eritrea,ERI,-0.891285539
Estonia,EST,1.303455591
Ethiopia,ETH,-0.444255531
Fiji,FJI,0.179258391
Finland,FIN,2.165774584
France,FRA,1.314697027
French Guiana,GUF,1.018918037
Gabon,GAB,-0.691624343
"Gambia, The",GMB,-0.693829834
Georgia,GEO,0.785900772
Germany,DEU,1.838379741
Ghana,GHA,-0.192189008
Greece,GRC,-0.122388072
Greenland,GRL,1.207874417
Grenada,GRD,0.247271582
Guam,GUM,1.225221634
Guatemala,GTM,-0.735963881
Guinea,GIN,-1.057489276
Guinea-Bissau,GNB,-1.538464069
Guyana,GUY,-0.741510391
Haiti,HTI,-1.233899713
Honduras,HND,-0.785444319
"Hong Kong SAR, China",HKG,1.619639516
Hungary,HUN,0.164560184
Iceland,ISL,1.827839136
India,IND,-0.428023726
Indonesia,IDN,-0.561766207
"Iran, Islamic Rep.",IRN,-0.6192047
Iraq,IRQ,-1.333758235
Ireland,IRL,1.604880452
Israel,ISR,0.865709782
Italy,ITA,-0.029641563
Jamaica,JAM,-0.299021482
Japan,JPN,1.694594502
"Jersey, Channel Islands",JEY,1.207874417
Jordan,JOR,0.135680109
Kazakhstan,KAZ,-0.830442965
Kenya,KEN,-0.933301449
Kiribati,KIR,0.251793474
"Korea, Dem. People’s Rep.",PRK,-1.297455907
"Korea, Rep.",KOR,0.547560692
Kosovo,XKX,-0.488147616
Kuwait,KWT,-0.240322918
Kyrgyz Republic,KGZ,-1.127943873
Lao PDR,LAO,-0.849051833
Latvia,LVA,0.415365428
Lebanon,LBN,-1.037225246
Lesotho,LSO,0.190519944
Liberia,LBR,-0.771458089
Libya,LBY,-1.564978242
Liechtenstein,LIE,2.081461191
Lithuania,LTU,0.558858037
Luxembourg,LUX,2.073182344
"Macao SAR, China",MAC,0.848661423
"Macedonia, FYR",MKD,-0.022042822
Madagascar,MDG,-0.840408504
Malawi,MWI,-0.751134217
Malaysia,MYS,0.41115877
Maldives,MDV,-0.376612514
Mali,MLI,-0.745391548
Malta,MLT,0.851744354
Marshall Islands,MHL,-0.107749835
Martinique,MTQ,1.225221634
Mauritania,MRT,-0.927549541
Mauritius,MUS,0.351373821
Mexico,MEX,-0.761708796
"Micronesia, Fed. Sts.",FSM,0.768475771
Moldova,MDA,-0.850617647
Monaco,MCO,..
Mongolia,MNG,-0.473792255
Montenegro,MNE,-0.059193566
Morocco,MAR,-0.265681654
Mozambique,MOZ,-0.672268331
Myanmar,MMR,-0.882173955
Namibia,NAM,0.288529754
Nauru,NRU,-0.472561568
Nepal,NPL,-0.588242352
Netherlands,NLD,1.990493894
Netherlands Antilles,ANT,..
New Zealand,NZL,2.253288746
Nicaragua,NIC,-0.885312438
Niger,NER,-0.686854482
Nigeria,NGA,-1.274704933
Niue,NIU,..
Norway,NOR,2.226565599
Oman,OMN,0.310047656
Pakistan,PAK,-0.833833992
Palau,PLW,-0.472561568
Panama,PAN,-0.339630365
Papua New Guinea,PNG,-0.910418808
Paraguay,PRY,-0.969663143
Peru,PER,-0.560316086
Philippines,PHL,-0.437061995
Poland,POL,0.635148048
Portugal,PRT,0.947626293
Puerto Rico,PRI,0.461910009
Qatar,QAT,0.988537192
Reunion,REU,0.63990289
Romania,ROU,-0.112616196
Russian Federation,RUS,-0.919225872
Rwanda,RWA,0.762483418
Samoa,WSM,0.296049774
San Marino,SMR,..
Sao Tome and Principe,STP,-0.001908805
Saudi Arabia,SAU,0.087325081
Senegal,SEN,0.055656247
Serbia,SRB,-0.226995632
Seychelles,SYC,0.438009501
Sierra Leone,SLE,-0.940657198
Singapore,SGP,2.071365356
Slovak Republic,SVK,0.162737191
Slovenia,SVN,0.726776481
Solomon Islands,SLB,-0.277966887
Somalia,SOM,-1.659762979
South Africa,ZAF,-0.061535094
South Sudan,SSD,-1.589431405
Spain,ESP,0.629841745
Sri Lanka,LKA,-0.343856692
St. Kitts and Nevis,KNA,0.247271582
St. Lucia,LCA,0.414502919
St. Vincent and the Grenadines,VCT,0.624051988
Sudan,SDN,-1.445422649
Suriname,SUR,-0.443283439
Swaziland,SWZ,-0.428299814
Sweden,SWE,2.153375149
Switzerland,CHE,2.151518822
Syrian Arab Republic,SYR,-1.553168178
"Taiwan, China",TWN,0.807123423
Tajikistan,TJK,-1.127138019
Tanzania,TZA,-0.754457295
Thailand,THA,-0.450273722
Timor-Leste,TLS,-0.526405215
Togo,TGO,-0.893284917
Tonga,TON,-0.314499438
Trinidad and Tobago,TTO,-0.413552701
Tunisia,TUN,-0.036884744
Turkey,TUR,-0.147938445
Turkmenistan,TKM,-1.314361334
Tuvalu,TUV,-0.014653616
Uganda,UGA,-1.085041404
Ukraine,UKR,-0.994197667
United Arab Emirates,ARE,1.203577995
United Kingdom,GBR,1.738477588
United States,USA,1.376067758
Uruguay,URY,1.378792644
Uzbekistan,UZB,-1.185223818
Vanuatu,VUT,0.461749703
"Venezuela, RB",VEN,-1.399562478
Vietnam,VNM,-0.436201066
Virgin Islands (U.S.),VIR,0.63990289
West Bank and Gaza,PSE,-0.277771503
"Yemen, Rep.",YEM,-1.555117607
Zambia,ZMB,-0.342242748
Zimbabwe,ZWE,-1.391290665
,,
,,
,,
Data from database: Worldwide Governance Indicators,,
Last Updated: 10/19/2016,,
