Country,code,government_effectiveness
Afghanistan,AFG,-1.331395626
Albania,ALB,-0.085557945
Algeria,DZA,-0.477552891
American Samoa,ASM,0.441491038
Andorra,AND,1.718335867
Angola,AGO,-1.123668909
Anguilla,AIA,0.952229023
Antigua and Barbuda,ATG,-0.069246948
Argentina,ARG,-0.159135252
Armenia,ARM,-0.198050931
Aruba,ABW,0.891651392
Australia,AUS,1.607114673
Austria,AUT,1.572585702
Azerbaijan,AZE,-0.363815427
"Bahamas, The",BHS,0.728960156
Bahrain,BHR,0.565039575
Bangladesh,BGD,-0.765750408
Barbados,BRB,1.204713941
Belarus,BLR,-0.486170083
Belgium,BEL,1.381594181
Belize,BLZ,-0.657314658
Benin,BEN,-0.456818074
Bermuda,BMU,0.952229023
Bhutan,BTN,0.256147236
Bolivia,BOL,-0.5877074
Bosnia and Herzegovina,BIH,-0.451142341
Botswana,BWA,0.352403283
Brazil,BRA,-0.139355496
Brunei Darussalam,BRN,1.086335182
Bulgaria,BGR,0.0787379
Burkina Faso,BFA,-0.578829587
Burundi,BDI,-1.12914741
Cabo Verde,CPV,0.069981024
Cambodia,KHM,-0.688959599
Cameroon,CMR,-0.791034162
Canada,CAN,1.760523319
Cayman Islands,CYM,1.180053711
Central African Republic,CAF,-1.848332644
Chad,TCD,-1.495927334
Chile,CHL,1.161331534
China,CHN,0.322888315
Colombia,COL,-0.100556344
Comoros,COM,-1.674040437
"Congo, Dem. Rep.",COD,-1.561380267
"Congo, Rep.",COG,-1.110310197
Cook Islands,COK,..
Costa Rica,CRI,0.396597505
Cote d'Ivoire,CIV,-0.833844006
Croatia,HRV,0.692963302
Cuba,CUB,-0.046784941
Cyprus,CYP,1.140383601
Czech Republic,CZE,1.017592907
Denmark,DNK,1.819007277
Djibouti,DJI,-0.974384606
Dominica,DMA,0.076308608
Dominican Republic,DOM,-0.435269862
Ecuador,ECU,-0.472943544
"Egypt, Arab Rep.",EGY,-0.822677433
El Salvador,SLV,-0.032733403
Equatorial Guinea,GNQ,-1.504542947
Eritrea,ERI,-1.607063174
Estonia,EST,1.016679525
Ethiopia,ETH,-0.42448172
Fiji,FJI,-0.367771119
Finland,FIN,1.998275638
France,FRA,1.403170347
French Guiana,GUF,1.128373861
Gabon,GAB,-0.644165218
"Gambia, The",GMB,-0.669894457
Georgia,GEO,0.489187151
Germany,DEU,1.731391549
Ghana,GHA,-0.280857623
Greece,GRC,0.398586392
Greenland,GRL,0.920352161
Grenada,GRD,-0.108672678
Guam,GUM,0.441491038
Guatemala,GTM,-0.728890419
Guinea,GIN,-1.232363105
Guinea-Bissau,GNB,-1.583007336
Guyana,GUY,-0.232317001
Haiti,HTI,-2.041475058
Honduras,HND,-0.809989631
"Hong Kong SAR, China",HKG,1.832902789
Hungary,HUN,0.533443689
Iceland,ISL,1.491399884
India,IND,-0.205647334
Indonesia,IDN,-0.037205037
"Iran, Islamic Rep.",IRN,-0.426920831
Iraq,IRQ,-1.111156821
Ireland,IRL,1.597104549
Israel,ISR,1.210811973
Italy,ITA,0.374144018
Jamaica,JAM,0.137448892
Japan,JPN,1.812485337
"Jersey, Channel Islands",JEY,1.353383064
Jordan,JOR,0.116841048
Kazakhstan,KAZ,-0.042686917
Kenya,KEN,-0.333343953
Kiribati,KIR,-0.560693443
"Korea, Dem. People’s Rep.",PRK,-1.640783787
"Korea, Rep.",KOR,1.164745569
Kosovo,XKX,-0.31521982
Kuwait,KWT,-0.148398995
Kyrgyz Republic,KGZ,-0.865409195
Lao PDR,LAO,-0.415311486
Latvia,LVA,0.958550274
Lebanon,LBN,-0.37551415
Lesotho,LSO,-0.555181265
Liberia,LBR,-1.343055606
Libya,LBY,-1.691470146
Liechtenstein,LIE,1.705178618
Lithuania,LTU,0.982653379
Luxembourg,LUX,1.65443325
"Macao SAR, China",MAC,1.468456149
"Macedonia, FYR",MKD,0.131663471
Madagascar,MDG,-1.299321651
Malawi,MWI,-0.628111243
Malaysia,MYS,1.115127206
Maldives,MDV,-0.361664385
Mali,MLI,-1.099087954
Malta,MLT,1.028361678
Marshall Islands,MHL,-1.558408737
Martinique,MTQ,0.696860015
Mauritania,MRT,-0.991504014
Mauritius,MUS,1.04363656
Mexico,MEX,0.19623448
"Micronesia, Fed. Sts.",FSM,-0.497500807
Moldova,MDA,-0.418404162
Monaco,MCO,..
Mongolia,MNG,-0.43550086
Montenegro,MNE,0.265190095
Morocco,MAR,-0.074534334
Mozambique,MOZ,-0.722668052
Myanmar,MMR,-1.279349566
Namibia,NAM,0.113697007
Nauru,NRU,-0.568591774
Nepal,NPL,-0.851541281
Netherlands,NLD,1.817106485
Netherlands Antilles,ANT,..
New Zealand,NZL,1.932062387
Nicaragua,NIC,-0.837903082
Niger,NER,-0.696187019
Nigeria,NGA,-1.186016917
Niue,NIU,..
Norway,NOR,1.828457475
Oman,OMN,0.265802741
Pakistan,PAK,-0.755000889
Palau,PLW,-0.568591774
Panama,PAN,0.262119085
Papua New Guinea,PNG,-0.612693727
Paraguay,PRY,-0.919168353
Peru,PER,-0.266777873
Philippines,PHL,0.193026796
Poland,POL,0.827383578
Portugal,PRT,0.988590837
Puerto Rico,PRI,0.363210231
Qatar,QAT,0.944795609
Reunion,REU,0.952229023
Romania,ROU,-0.025993757
Russian Federation,RUS,-0.109315023
Rwanda,RWA,-0.025332073
Samoa,WSM,0.454839766
San Marino,SMR,..
Sao Tome and Principe,STP,-0.817302048
Saudi Arabia,SAU,0.207730904
Senegal,SEN,-0.403944403
Serbia,SRB,0.089616925
Seychelles,SYC,0.360770196
Sierra Leone,SLE,-1.243713737
Singapore,SGP,2.182617188
Slovak Republic,SVK,0.876235783
Slovenia,SVN,1.005159855
Solomon Islands,SLB,-1.068035007
Somalia,SOM,-2.445875883
South Africa,ZAF,0.341089219
South Sudan,SSD,-2.068171263
Spain,ESP,1.1597054
Sri Lanka,LKA,0.053877641
St. Kitts and Nevis,KNA,-0.071792491
St. Lucia,LCA,-0.016265955
St. Vincent and the Grenadines,VCT,0.131919056
Sudan,SDN,-1.532044411
Suriname,SUR,-0.175923645
Swaziland,SWZ,-0.562953532
Sweden,SWE,1.803889275
Switzerland,CHE,2.112257957
Syrian Arab Republic,SYR,-1.400044918
"Taiwan, China",TWN,1.367833734
Tajikistan,TJK,-0.782609403
Tanzania,TZA,-0.655045569
Thailand,THA,0.337951154
Timor-Leste,TLS,-1.18059504
Togo,TGO,-1.249514103
Tonga,TON,-0.069148742
Trinidad and Tobago,TTO,0.272078156
Tunisia,TUN,-0.119645528
Turkey,TUR,0.365242243
Turkmenistan,TKM,-0.842202842
Tuvalu,TUV,-0.92668587
Uganda,UGA,-0.501476347
Ukraine,UKR,-0.413418591
United Arab Emirates,ARE,1.435521245
United Kingdom,GBR,1.626729727
United States,USA,1.467586279
Uruguay,URY,0.482786238
Uzbekistan,UZB,-0.628321826
Vanuatu,VUT,-0.533902705
"Venezuela, RB",VEN,-1.226763487
Vietnam,VNM,-0.070451654
Virgin Islands (U.S.),VIR,1.207597971
West Bank and Gaza,PSE,-0.487887532
"Yemen, Rep.",YEM,-1.410873294
Zambia,ZMB,-0.499574661
Zimbabwe,ZWE,-1.210597754
