Country,code,percent_arable_land
Afghanistan,AFG,11.90301137
Albania,ALB,22.46715328
Algeria,DZA,3.136110575
American Samoa,ASM,15
Andorra,AND,1.723404255
Angola,AGO,3.930376193
Antigua and Barbuda,ATG,9.090909091
Arab World,ARB,4.354083116
Argentina,ARG,14.323873
Armenia,ARM,15.71829996
Aruba,ABW,11.11111111
Australia,AUS,6.112362183
Austria,AUT,16.37967597
Azerbaijan,AZE,23.30546919
"Bahamas, The",BHS,0.799200799
Bahrain,BHR,2.075226978
Bangladesh,BGD,58.91526465
Barbados,BRB,25.58139535
Belarus,BLR,27.94342319
Belgium,BEL,26.98150594
Belize,BLZ,3.419552828
Benin,BEN,23.94466123
Bermuda,BMU,6
Bhutan,BTN,2.628748328
Bolivia,BOL,4.128588572
Bosnia and Herzegovina,BIH,19.74609375
Botswana,BWA,0.70403896
Brazil,BRA,9.573541482
British Virgin Islands,VGB,6.666666667
Brunei Darussalam,BRN,0.948766603
Bulgaria,BGR,32.11127487
Burkina Faso,BFA,21.92982456
Burundi,BDI,46.72897196
Cabo Verde,CPV,12.40694789
Cambodia,KHM,21.52730569
Cameroon,CMR,13.11586385
Canada,CAN,4.777781077
Caribbean small states,CSS,1.859948129
Cayman Islands,CYM,0.833333333
Central African Republic,CAF,2.889338342
Central Europe and the Baltics,CEB,33.82146894
Chad,TCD,3.891359593
Channel Islands,CHI,21.73684211
Chile,CHL,1.733886369
China,CHN,11.25880106
Colombia,COL,1.557638576
Comoros,COM,34.92745836
"Congo, Dem. Rep.",COD,3.131823295
"Congo, Rep.",COG,1.610541728
Costa Rica,CRI,4.545632589
Cote d'Ivoire,CIV,9.119496855
Croatia,HRV,14.53180843
Cuba,CUB,29.68659873
Curacao,CUW,..
Cyprus,CYP,8.636363636
Czech Republic,CZE,40.70716228
Denmark,DNK,57.91855204
Djibouti,DJI,0.086281277
Dominica,DMA,8
Dominican Republic,DOM,16.55971848
Early-demographic dividend,EAR,13.05784175
East Asia & Pacific,EAS,9.535870429
East Asia & Pacific (excluding high income),EAP,11.22884659
East Asia & Pacific (IDA & IBRD countries),TEA,11.16534789
Ecuador,ECU,4.097680786
"Egypt, Arab Rep.",EGY,2.682204028
El Salvador,SLV,36.1969112
Equatorial Guinea,GNQ,4.278074866
Eritrea,ERI,6.831683168
Estonia,EST,15.28898325
Ethiopia,ETH,15.119
Euro area,EMU,24.27426675
Europe & Central Asia,ECS,12.33197685
Europe & Central Asia (excluding high income),ECA,10.68307077
Europe & Central Asia (IDA & IBRD countries),TEC,11.01636815
European Union,EUU,25.44079306
Faroe Islands,FRO,2.148997135
Fiji,FJI,9.031198686
Finland,FIN,7.34081411
Fragile and conflict affected situations,FCS,6.152682997
France,FRA,33.4816284
French Polynesia,PYF,0.683060109
Gabon,GAB,1.261303217
"Gambia, The",GMB,43.47826087
Georgia,GEO,6.576485825
Germany,DEU,34.02407567
Ghana,GHA,20.65570889
Gibraltar,GIB,..
Greece,GRC,17.25368503
Greenland,GRL,0.002192715
Grenada,GRD,8.823529412
Guam,GUM,1.851851852
Guatemala,GTM,8.714072415
Guinea,GIN,12.61598567
Guinea-Bissau,GNB,10.6685633
Guyana,GUY,2.133604267
Haiti,HTI,38.82438316
