Country,code,political_stability
Afghanistan,AFG,-2.411068439
Albania,ALB,0.485986233
Algeria,DZA,-1.190535188
American Samoa,ASM,1.08068347
Andorra,AND,1.286593318
Angola,AGO,-0.333232045
Anguilla,AIA,1.164254904
Antigua and Barbuda,ATG,0.984550714
Argentina,ARG,-0.005121871
Armenia,ARM,-0.2971358
Aruba,ABW,1.164567828
Australia,AUS,1.032191992
Austria,AUT,1.270700455
Azerbaijan,AZE,-0.559909523
"Bahamas, The",BHS,0.956470132
Bahrain,BHR,-0.907474875
Bangladesh,BGD,-0.895563185
Barbados,BRB,1.277919888
Belarus,BLR,0.179782152
Belgium,BEL,0.701269448
Belize,BLZ,0.048583075
Benin,BEN,0.027139762
Bermuda,BMU,0.913897812
Bhutan,BTN,1.068038583
Bolivia,BOL,-0.333112091
Bosnia and Herzegovina,BIH,-0.019179042
Botswana,BWA,1.011847138
Brazil,BRA,-0.070290133
Brunei Darussalam,BRN,1.261507034
Bulgaria,BGR,0.078540899
Burkina Faso,BFA,-0.787128568
Burundi,BDI,-0.784407139
Cabo Verde,CPV,0.350779146
Cambodia,KHM,0.023174802
Cameroon,CMR,-1.059252381
Canada,CAN,1.17550385
Cayman Islands,CYM,1.04634726
Central African Republic,CAF,-2.699193239
Chad,TCD,-1.568882704
Chile,CHL,0.447516918
China,CHN,-0.522584021
Colombia,COL,-1.114594102
Comoros,COM,-0.186910167
"Congo, Dem. Rep.",COD,-2.167921305
"Congo, Rep.",COG,-0.359291583
Cook Islands,COK,..
Costa Rica,CRI,0.577418208
Cote d'Ivoire,CIV,-1.037160635
Croatia,HRV,0.619112372
Cuba,CUB,0.544822037
Cyprus,CYP,0.551882088
Czech Republic,CZE,0.989990473
Denmark,DNK,0.951779723
Djibouti,DJI,-0.77023226
Dominica,DMA,1.05717814
Dominican Republic,DOM,0.145934492
Ecuador,ECU,-0.018533209
"Egypt, Arab Rep.",EGY,-1.631176591
El Salvador,SLV,-0.024590004
Equatorial Guinea,GNQ,-0.374146551
Eritrea,ERI,-0.805872619
Estonia,EST,0.780257881
Ethiopia,ETH,-1.339387417
Fiji,FJI,0.553164601
Finland,FIN,1.282197237
France,FRA,0.300568491
French Guiana,GUF,0.527634025
Gabon,GAB,0.149542809
"Gambia, The",GMB,-0.151400715
Georgia,GEO,-0.321507543
Germany,DEU,0.925186455
Ghana,GHA,-0.106807962
Greece,GRC,-0.140445963
Greenland,GRL,1.924541116
Grenada,GRD,0.774568856
Guam,GUM,0.750133276
Guatemala,GTM,-0.655563533
Guinea,GIN,-0.955242753
Guinea-Bissau,GNB,-0.706451654
Guyana,GUY,-0.136097595
Haiti,HTI,-0.643627286
Honduras,HND,-0.534083962
"Hong Kong SAR, China",HKG,1.153228521
Hungary,HUN,0.669904828
Iceland,ISL,1.246974587
India,IND,-0.99791199
Indonesia,IDN,-0.416824043
"Iran, Islamic Rep.",IRN,-0.874987662
Iraq,IRQ,-2.480337858
Ireland,IRL,1.052991152
Israel,ISR,-1.039735317
Italy,ITA,0.458165407
Jamaica,JAM,0.024492532
Japan,JPN,0.968597353
"Jersey, Channel Islands",JEY,1.464952469
Jordan,JOR,-0.540025532
Kazakhstan,KAZ,0.036018156
Kenya,KEN,-1.282247186
Kiribati,KIR,0.801865816
"Korea, Dem. People’s Rep.",PRK,-1.134743333
"Korea, Rep.",KOR,0.108568802
Kosovo,XKX,-0.340774536
Kuwait,KWT,0.149006546
Kyrgyz Republic,KGZ,-0.804615676
Lao PDR,LAO,0.498692989
Latvia,LVA,0.487268358
Lebanon,LBN,-1.697941303
Lesotho,LSO,-0.332812041
Liberia,LBR,-0.615449607
Libya,LBY,-2.353407145
Liechtenstein,LIE,1.458861828
Lithuania,LTU,0.742136419
Luxembourg,LUX,1.378323793
"Macao SAR, China",MAC,1.206168532
"Macedonia, FYR",MKD,0.256382942
Madagascar,MDG,-0.557235837
Malawi,MWI,0.081093207
Malaysia,MYS,0.266619146
Maldives,MDV,0.679096162
Mali,MLI,-1.713988781
Malta,MLT,1.125496984
Marshall Islands,MHL,0.989585757
Martinique,MTQ,0.913897812
Mauritania,MRT,-0.589508355
Mauritius,MUS,0.667965949
Mexico,MEX,-0.853918791
"Micronesia, Fed. Sts.",FSM,0.984550714
Moldova,MDA,-0.158987761
Monaco,MCO,1.023347855
Mongolia,MNG,0.791901171
Montenegro,MNE,0.219455272
Morocco,MAR,-0.446265608
Mozambique,MOZ,-0.336002737
Myanmar,MMR,-1.087580681
Namibia,NAM,0.608740628
Nauru,NRU,0.601334393
Nepal,NPL,-0.72459954
Netherlands,NLD,1.045115352
Netherlands Antilles,ANT,..
New Zealand,NZL,1.467927575
Nicaragua,NIC,-0.040780123
Niger,NER,-1.175840497
Nigeria,NGA,-2.130276442
Niue,NIU,..
Norway,NOR,1.11995852
Oman,OMN,0.734907329
Pakistan,PAK,-2.401279211
Palau,PLW,0.989585757
Panama,PAN,0.209008202
Papua New Guinea,PNG,-0.339367092
Paraguay,PRY,-0.08862751
Peru,PER,-0.550656915
Philippines,PHL,-0.713820934
Poland,POL,0.842940807
Portugal,PRT,0.806274414
Puerto Rico,PRI,0.819992661
Qatar,QAT,0.977457762
Reunion,REU,0.257044077
Romania,ROU,0.049136128
Russian Federation,RUS,-0.943617463
Rwanda,RWA,-0.313469648
Samoa,WSM,1.12190485
San Marino,SMR,0.989585757
Sao Tome and Principe,STP,0.184183002
Saudi Arabia,SAU,-0.285844654
Senegal,SEN,-0.198223099
Serbia,SRB,0.184110776
Seychelles,SYC,0.361632437
Sierra Leone,SLE,-0.104039676
Singapore,SGP,1.186271429
Slovak Republic,SVK,1.039121151
Slovenia,SVN,0.965773404
Solomon Islands,SLB,0.470224828
Somalia,SOM,-2.515828133
South Africa,ZAF,-0.146388963
South Sudan,SSD,-2.646576643
Spain,ESP,0.243121743
Sri Lanka,LKA,-0.330464035
St. Kitts and Nevis,KNA,0.572488189
St. Lucia,LCA,0.816450417
St. Vincent and the Grenadines,VCT,0.816450417
Sudan,SDN,-2.363084555
Suriname,SUR,0.249270841
Swaziland,SWZ,-0.500559747
Sweden,SWE,1.065414786
Switzerland,CHE,1.402652621
Syrian Arab Republic,SYR,-2.74882412
"Taiwan, China",TWN,0.766413093
Tajikistan,TJK,-0.693340778
Tanzania,TZA,-0.597118556
Thailand,THA,-0.906386316
Timor-Leste,TLS,-0.179694876
Togo,TGO,-0.167126864
Tonga,TON,0.84719646
Trinidad and Tobago,TTO,0.247864336
Tunisia,TUN,-0.851661503
Turkey,TUR,-1.086035967
Turkmenistan,TKM,0.074206032
Tuvalu,TUV,1.299327254
Uganda,UGA,-0.941126168
Ukraine,UKR,-2.020833492
United Arab Emirates,ARE,0.768908918
United Kingdom,GBR,0.415347636
United States,USA,0.582419634
Uruguay,URY,0.991879582
Uzbekistan,UZB,-0.273108631
Vanuatu,VUT,0.636045277
"Venezuela, RB",VEN,-0.852002203
Vietnam,VNM,-0.022347357
Virgin Islands (U.S.),VIR,1.164254904
West Bank and Gaza,PSE,-1.985010862
"Yemen, Rep.",YEM,-2.665575027
Zambia,ZMB,0.156212017
Zimbabwe,ZWE,-0.713570178
