code,Country,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements
AB9,Abyei Area,20000,,
AFG,Afghanistan,805000,156000,13000
ALB,Albania,,,24
ARG,Argentina,,,32000
ARM,Armenia,8400,,
AUS,Australia,,,1200
AZE,Azerbaijan,569000,,
BDI,Burundi,78000,,13000
BGD,Bangladesh,426000,,543000
BGR,Bulgaria,,,2300
BIH,Bosnia and Herzegovina,100000,,91000
BOL,Bolivia,,,190000
BRA,Brazil,,,150000
BRN,Brunei Darussalam,,,51
BWA,Botswana,,,2000
CAF,Central African Republic,439000,173000,940
CAN,Canada,,,5800
CHL,Chile,,,985000
CHN,China,,,3612000
CIV,Côte d'Ivoire,301000,5500,4500
CMR,Cameroon,40000,40000,3500
COD,"Congo, Dem. Rep.",2757000,1003000,24000
COG,"Congo, Rep",7800,,
COL,Colombia,6044000,137000,20000
COM,Comoros,,,12000
CPV,Cabo Verde,,,2500
CYP,Cyprus,212000,,
DOM,Dominican Republic,,,11000
DZA,Algeria,,,4500
ECU,Ecuador,,,570
EGY,"Egypt, Arab Rep.",,,200
ERI,Eritrea,10000,,
ESP,Spain,,,3800
ETH,Ethiopia,397000,137000,49000
FJI,Fiji,,,800
FRA,France,,,4100
GBR,United Kingdom,,,620
GEO,Georgia,233000,,120
GRC,Greece,,,8200
GTM,Guatemala,249000,1400,10000
HND,Honduras,29000,,2500
HRV,Croatia,,,18000
HTI,Haiti,,,6500
HUN,Hungary,,,290
IDN,Indonesia,84000,800,943000
IND,India,854000,345000,3428000
IRN,"Iran, Islamic Rep.",,,12000
IRQ,Iraq,3276000,2177000,
ISR,Israel,,,700
ITA,Italy,,,1600
JPN,Japan,,,707000
KEN,Kenya,309000,220000,1400
KHM,Cambodia,,,151000
LAO,Lao PDR,,,790
LBN,Lebanon,20000,,1300
LBR,Liberia,23000,,650
LBY,Libya,400000,341000,
LKA,Sri Lanka,90000,,152000
LSO,Lesotho,,,2600
MAR,Morocco,,,1700
MDG,Madagascar,,,2800
MEX,Mexico,281000,9000,18000
MHL,Marshall Islands,,,1200
MKD,"Macedonia, FYR",220,,
MLI,Mali,62000,19000,
MMR,Myanmar,645000,6200,81000
MOZ,Mozambique,,,21000
MWI,Malawi,,,600
MYS,Malaysia,,,256000
NAM,Namibia,,,160
NER,Niger,11000,,47000
NGA,Nigeria,1075000,975000,3000
NIC,Nicaragua,,,35000
NOR,Norway,,,680
NPL,Nepal,50000,,74000
PAK,Pakistan,1900000,907000,771000
PAN,Panama,,,320
PER,Peru,150000,,950
PHL,Philippines,78000,124000,5787000
PNG,Papua New Guinea,7500,1200,21000
PRY,Paraguay,,,84000
PSE,Palestine,275000,118000,200
ROU,Romania,,,2200
RUS,Russian Federation,25000,,23000
SDN,Sudan,3100000,558000,187000
SEN,Senegal,24000,,
SLB,Solomon Islands,,,9000
SLV,El Salvador,,191000,22
SOM,Somalia,1107000,89000,36000
SRB,Serbia,97000,,33000
SSD,South Sudan,1498000,1304000,112000
SWE,Sweden,,,1000
SYC,Seychelles,,,7
SYR,Syrian Arab Republic,7600000,1100000,2300
TCD,Chad,71000,,9900
TGO,Togo,10000,,
THA,Thailand,35000,,27000
TJK,Tajikistan,,,460
TKM,Turkmenistan,4000,,
TLS,Timor-Leste,900,2100,2300
TON,Tonga,,,5300
TUR,Turkey,954000,,480
TWN,"Taiwan, China",,,9400
TZA,Tanzania,,,14000
UGA,Uganda,30000,,50000
UKR,Ukraine,647000,647000,
URY,Uruguay,,,4900
USA,United States,,,34000
UZB,Uzbekistan,3400,,
VNM,Vietnam,,,68000
VUT,Vanuatu,,,350
WSM,Samoa,,,86
XKX,Kosovo,17000,,
YEM,"Yemen, Rep.",334000,100000,
ZAF,South Africa,,,3500
ZMB,Zambia,,,26000
ZWE,Zimbabwe,,,23000
