Country,code,rule_of_law
Afghanistan,AFG,-1.445647597
Albania,ALB,-0.337862045
Algeria,DZA,-0.773167908
American Samoa,ASM,1.410082817
Andorra,AND,1.641952872
Angola,AGO,-1.118136406
Anguilla,AIA,0.018862573
Antigua and Barbuda,ATG,-0.177203804
Argentina,ARG,-0.886034548
Armenia,ARM,-0.365905493
Aruba,ABW,1.038311601
Australia,AUS,1.923104525
Austria,AUT,1.952464104
Azerbaijan,AZE,-0.672239363
"Bahamas, The",BHS,0.665428877
Bahrain,BHR,0.413719535
Bangladesh,BGD,-0.777665257
Barbados,BRB,1.08249259
Belarus,BLR,-0.84030503
Belgium,BEL,1.52343905
Belize,BLZ,-0.745151877
Benin,BEN,-0.488022417
Bermuda,BMU,0.018862573
Bhutan,BTN,0.379015028
Bolivia,BOL,-1.055192828
Bosnia and Herzegovina,BIH,-0.185617089
Botswana,BWA,0.633615911
Brazil,BRA,-0.049857914
Brunei Darussalam,BRN,0.472535253
Bulgaria,BGR,-0.046017233
Burkina Faso,BFA,-0.547252774
Burundi,BDI,-0.966020286
Cabo Verde,CPV,0.634805202
Cambodia,KHM,-0.955210149
Cameroon,CMR,-0.896448255
Canada,CAN,1.89068222
Cayman Islands,CYM,0.58729589
Central African Republic,CAF,-1.695696592
Chad,TCD,-1.138648629
Chile,CHL,1.43313992
China,CHN,-0.414477408
Colombia,COL,-0.291901916
Comoros,COM,-0.891699731
"Congo, Dem. Rep.",COD,-1.451048017
"Congo, Rep.",COG,-1.108604074
Cook Islands,COK,..
Costa Rica,CRI,0.560501158
Cote d'Ivoire,CIV,-0.591415823
Croatia,HRV,0.319685102
Cuba,CUB,-0.657768965
Cyprus,CYP,1.077018499
Czech Republic,CZE,1.15218091
Denmark,DNK,2.096355438
Djibouti,DJI,-0.8739326
Dominica,DMA,0.492903143
Dominican Republic,DOM,-0.405669421
Ecuador,ECU,-1.058417678
"Egypt, Arab Rep.",EGY,-0.662516296
El Salvador,SLV,-0.476327419
Equatorial Guinea,GNQ,-1.448759675
Eritrea,ERI,-1.530384064
Estonia,EST,1.372891307
Ethiopia,ETH,-0.471563309
Fiji,FJI,-0.511486351
Finland,FIN,2.100273371
France,FRA,1.474639177
French Guiana,GUF,1.066060424
Gabon,GAB,-0.508886874
"Gambia, The",GMB,-0.689125657
Georgia,GEO,0.190929726
Germany,DEU,1.856834173
Ghana,GHA,0.052244995
Greece,GRC,0.36259988
Greenland,GRL,1.738286018
Grenada,GRD,-0.167484716
Guam,GUM,1.410082817
Guatemala,GTM,-0.96223402
Guinea,GIN,-1.360495448
Guinea-Bissau,GNB,-1.325205922
Guyana,GUY,-0.616555035
Haiti,HTI,-1.185460091
Honduras,HND,-0.944581866
"Hong Kong SAR, China",HKG,1.86072886
Hungary,HUN,0.501931071
Iceland,ISL,1.708532214
India,IND,-0.063245445
Indonesia,IDN,-0.342180669
"Iran, Islamic Rep.",IRN,-1.056347728
Iraq,IRQ,-1.334787846
Ireland,IRL,1.779152513
Israel,ISR,1.107662916
Italy,ITA,0.37739116
Jamaica,JAM,-0.282042772
Japan,JPN,1.601541996
"Jersey, Channel Islands",JEY,1.738286018
Jordan,JOR,0.464213163
Kazakhstan,KAZ,-0.598051727
Kenya,KEN,-0.4168576
Kiribati,KIR,-0.12437252
"Korea, Dem. People’s Rep.",PRK,-1.624641538
"Korea, Rep.",KOR,0.993528128
Kosovo,XKX,-0.472362667
Kuwait,KWT,0.022490578
Kyrgyz Republic,KGZ,-0.926912189
Lao PDR,LAO,-0.751358986
Latvia,LVA,0.872382939
Lebanon,LBN,-0.766248524
Lesotho,LSO,-0.20982334
Liberia,LBR,-0.80579406
Libya,LBY,-1.508693218
Liechtenstein,LIE,1.743713021
Lithuania,LTU,0.939177334
Luxembourg,LUX,1.906487703
"Macao SAR, China",MAC,0.951919615
"Macedonia, FYR",MKD,-0.052508973
Madagascar,MDG,-0.740127504
Malawi,MWI,-0.286365271
Malaysia,MYS,0.588295519
Maldives,MDV,-0.530172229
Mali,MLI,-0.644296169
Malta,MLT,1.193639755
Marshall Islands,MHL,-0.222078681
Martinique,MTQ,0.018862573
Mauritania,MRT,-0.860369444
Mauritius,MUS,0.912838042
Mexico,MEX,-0.422825068
"Micronesia, Fed. Sts.",FSM,-0.280935526
Moldova,MDA,-0.247836754
Monaco,MCO,..
Mongolia,MNG,-0.344739795
Montenegro,MNE,0.081718199
Morocco,MAR,-0.065144658
Mozambique,MOZ,-0.810333848
Myanmar,MMR,-1.185658813
Namibia,NAM,0.14784117
Nauru,NRU,-1.009087205
Nepal,NPL,-0.649577558
Netherlands,NLD,1.980402589
Netherlands Antilles,ANT,..
New Zealand,NZL,2.008776665
Nicaragua,NIC,-0.712243497
Niger,NER,-0.645743966
Nigeria,NGA,-1.049235106
Niue,NIU,..
Norway,NOR,2.029048204
Oman,OMN,0.485807508
Pakistan,PAK,-0.760338485
Palau,PLW,0.275592655
Panama,PAN,-0.059524875
Papua New Guinea,PNG,-0.801755965
Paraguay,PRY,-0.673159599
Peru,PER,-0.521067798
Philippines,PHL,-0.31731075
Poland,POL,0.840595961
Portugal,PRT,1.137530565
Puerto Rico,PRI,0.767422557
Qatar,QAT,0.864007652
Reunion,REU,1.178212881
Romania,ROU,0.165362
Russian Federation,RUS,-0.741455436
Rwanda,RWA,0.056870598
Samoa,WSM,0.717397809
San Marino,SMR,..
Sao Tome and Principe,STP,-0.792880535
Saudi Arabia,SAU,0.132183999
Senegal,SEN,-0.081823833
Serbia,SRB,-0.149681732
Seychelles,SYC,0.126385927
Sierra Leone,SLE,-0.921858549
Singapore,SGP,1.824774981
Slovak Republic,SVK,0.496026099
Slovenia,SVN,1.001514196
Solomon Islands,SLB,-0.502281189
Somalia,SOM,-2.349381208
South Africa,ZAF,0.182790428
South Sudan,SSD,-1.822960019
Spain,ESP,0.952644229
Sri Lanka,LKA,-0.170083612
St. Kitts and Nevis,KNA,0.0712336
St. Lucia,LCA,0.567623079
St. Vincent and the Grenadines,VCT,0.552873969
Sudan,SDN,-1.167488456
Suriname,SUR,-0.137176558
Swaziland,SWZ,-0.314296454
Sweden,SWE,1.992006302
Switzerland,CHE,1.994928122
Syrian Arab Republic,SYR,-1.362182021
"Taiwan, China",TWN,1.187945485
Tajikistan,TJK,-1.011011243
Tanzania,TZA,-0.395124078
Thailand,THA,-0.19136773
Timor-Leste,TLS,-1.121553183
Togo,TGO,-0.85721612
Tonga,TON,-0.145887271
Trinidad and Tobago,TTO,-0.09080527
Tunisia,TUN,-0.10967727
Turkey,TUR,0.00512341
Turkmenistan,TKM,-1.364572048
Tuvalu,TUV,0.373632431
Uganda,UGA,-0.38838008
Ukraine,UKR,-0.790971577
United Arab Emirates,ARE,0.652227223
United Kingdom,GBR,1.889571428
United States,USA,1.610473037
Uruguay,URY,0.710575342
Uzbekistan,UZB,-1.129661798
Vanuatu,VUT,0.178619623
"Venezuela, RB",VEN,-1.916324377
Vietnam,VNM,-0.359818399
Virgin Islands (U.S.),VIR,0.018862573
West Bank and Gaza,PSE,-0.38522175
"Yemen, Rep.",YEM,-1.200264573
Zambia,ZMB,-0.23654902
Zimbabwe,ZWE,-1.431254029
,,
,,
,,
Data from database: Worldwide Governance Indicators,,
Last Updated: 10/19/2016,,
