Country,code,voice_and_accountability
Afghanistan,AFG,-1.135444999
Albania,ALB,0.143760741
Algeria,DZA,-0.815198064
American Samoa,ASM,..
Andorra,AND,1.165938854
Angola,AGO,-1.145493984
Anguilla,AIA,..
Antigua and Barbuda,ATG,0.558710754
Argentina,ARG,0.345320523
Armenia,ARM,-0.562082946
Aruba,ABW,1.276822448
Australia,AUS,1.361716032
Austria,AUT,1.391321301
Azerbaijan,AZE,-1.479177833
"Bahamas, The",BHS,1.047353506
Bahrain,BHR,-1.311062574
Bangladesh,BGD,-0.473929763
Barbados,BRB,1.145061851
Belarus,BLR,-1.442871571
Belgium,BEL,1.366339207
Belize,BLZ,0.520088315
Benin,BEN,0.266302288
Bermuda,BMU,..
Bhutan,BTN,-0.102953024
Bolivia,BOL,-0.02631977
Bosnia and Herzegovina,BIH,-0.070975274
Botswana,BWA,0.435417175
Brazil,BRA,0.471927881
Brunei Darussalam,BRN,-0.625025094
Bulgaria,BGR,0.366463035
Burkina Faso,BFA,-0.351851881
Burundi,BDI,-1.041284084
Cabo Verde,CPV,0.956972718
Cambodia,KHM,-1.107750893
Cameroon,CMR,-0.94434166
Canada,CAN,1.412359953
Cayman Islands,CYM,0.473134667
Central African Republic,CAF,-1.391623259
Chad,TCD,-1.331053138
Chile,CHL,1.05591476
China,CHN,-1.616668105
Colombia,COL,-0.043316167
Comoros,COM,-0.29174611
"Congo, Dem. Rep.",COD,-1.286677957
"Congo, Rep.",COG,-1.108313203
Cook Islands,COK,..
Costa Rica,CRI,1.138346195
Cote d'Ivoire,CIV,-0.50768739
Croatia,HRV,0.514940262
Cuba,CUB,-1.544797778
Cyprus,CYP,1.019970298
Czech Republic,CZE,1.026667476
Denmark,DNK,1.524577379
Djibouti,DJI,-1.430809975
Dominica,DMA,1.06705606
Dominican Republic,DOM,0.188960612
Ecuador,ECU,-0.202465162
"Egypt, Arab Rep.",EGY,-1.18059957
El Salvador,SLV,0.152603105
Equatorial Guinea,GNQ,-1.976544499
Eritrea,ERI,-2.113502741
Estonia,EST,1.17031002
Ethiopia,ETH,-1.284353971
Fiji,FJI,-0.176634297
Finland,FIN,1.541917205
France,FRA,1.218159556
French Guiana,GUF,1.276822448
Gabon,GAB,-0.865721822
"Gambia, The",GMB,-1.267748713
Georgia,GEO,0.284665972
Germany,DEU,1.436330318
Ghana,GHA,0.463251561
Greece,GRC,0.618757248
Greenland,GRL,1.276822448
Grenada,GRD,0.906140924
Guam,GUM,..
Guatemala,GTM,-0.337599128
Guinea,GIN,-0.858070731
Guinea-Bissau,GNB,-0.850447953
Guyana,GUY,0.156029701
Haiti,HTI,-0.791107893
Honduras,HND,-0.409190774
"Hong Kong SAR, China",HKG,0.535698533
Hungary,HUN,0.553266287
Iceland,ISL,1.357325196
India,IND,0.413294047
Indonesia,IDN,0.1539049
"Iran, Islamic Rep.",IRN,-1.58074379
Iraq,IRQ,-1.144258142
Ireland,IRL,1.317501187
Israel,ISR,0.727578998
Italy,ITA,0.999262631
Jamaica,JAM,0.562572896
Japan,JPN,1.036089063
"Jersey, Channel Islands",JEY,1.276822448
Jordan,JOR,-0.753645599
Kazakhstan,KAZ,-1.183920979
Kenya,KEN,-0.145232216
Kiribati,KIR,0.939704716
"Korea, Dem. People’s Rep.",PRK,-2.193335295
"Korea, Rep.",KOR,0.680225968
Kosovo,XKX,-0.201312855
Kuwait,KWT,-0.657459795
Kyrgyz Republic,KGZ,-0.462497383
Lao PDR,LAO,-1.733219862
Latvia,LVA,0.849434912
Lebanon,LBN,-0.420307428
Lesotho,LSO,0.161970541
Liberia,LBR,-0.275833428
Libya,LBY,-1.113725781
Liechtenstein,LIE,1.395747304
Lithuania,LTU,0.961591065
Luxembourg,LUX,1.554682136
"Macao SAR, China",MAC,-0.330553174
"Macedonia, FYR",MKD,-0.14148204
Madagascar,MDG,-0.500305891
Malawi,MWI,-0.064298145
Malaysia,MYS,-0.360303104
Maldives,MDV,-0.372216314
Mali,MLI,-0.161402777
Malta,MLT,1.18426621
Marshall Islands,MHL,1.154827714
Martinique,MTQ,..
Mauritania,MRT,-0.895422757
Mauritius,MUS,0.940896153
Mexico,MEX,0.000316119
"Micronesia, Fed. Sts.",FSM,1.110941887
Moldova,MDA,0.011545338
Monaco,MCO,0.993912756
Mongolia,MNG,0.241444647
Montenegro,MNE,0.160300255
Morocco,MAR,-0.686271131
Mozambique,MOZ,-0.24599041
Myanmar,MMR,-1.343992472
Namibia,NAM,0.55330056
Nauru,NRU,0.807397604
Nepal,NPL,-0.430457085
Netherlands,NLD,1.547281384
Netherlands Antilles,ANT,..
New Zealand,NZL,1.524383783
Nicaragua,NIC,-0.395727456
Niger,NER,-0.195137009
Nigeria,NGA,-0.586755931
Niue,NIU,..
Norway,NOR,1.684087038
Oman,OMN,-1.090710998
Pakistan,PAK,-0.716023862
Palau,PLW,1.176770806
Panama,PAN,0.505627871
Papua New Guinea,PNG,0.012504078
Paraguay,PRY,-0.102842316
Peru,PER,0.192517072
Philippines,PHL,0.15926604
Poland,POL,1.105112672
Portugal,PRT,1.107445598
Puerto Rico,PRI,0.776707172
Qatar,QAT,-1.133435845
Reunion,REU,..
Romania,ROU,0.428126812
Russian Federation,RUS,-1.044410229
Rwanda,RWA,-1.111962318
Samoa,WSM,0.665029645
San Marino,SMR,1.16579926
Sao Tome and Principe,STP,0.321446329
Saudi Arabia,SAU,-1.882013559
Senegal,SEN,0.29227981
Serbia,SRB,0.212611303
Seychelles,SYC,-0.047514915
Sierra Leone,SLE,-0.286693156
Singapore,SGP,-0.098659426
