code,percent_arable_land
AFG,11.89382103
ALB,22.44890511
DZA,3.133045589
ASM,15
AND,1.723404255
AGO,3.930376193
ATG,9.090909091
ARG,14.323873
ARM,15.69020021
ABW,11.11111111
AUS,6.004191453
AUT,16.3118161
AZE,23.44095907
BHS,0.799200799
BHR,2.075226978
BGD,59.64669279
BRB,25.58139535
BLR,28.01734759
BEL,27.39431968
BLZ,3.419552828
BEN,23.94466123
BMU,6
BTN,2.628748328
BOL,4.128588572
BIH,20.09765625
BWA,0.70403896
BRA,9.573541482
VGB,6.666666667
BRN,0.948766603
BGR,32.32958732
BFA,21.92982456
BDI,46.72897196
CPV,12.40694789
KHM,21.52730569
CMR,13.11586385
CAN,4.795332055
CYM,0.833333333
CAF,2.889338342
TCD,3.891359593
CHI,20.52631579
CHL,1.765895752
CHN,12.6754714
COL,1.521946823
COM,34.92745836
COD,3.131823295
COG,1.610541728
CRI,4.543674109
CIV,9.119496855
HRV,15.08398856
CUB,28.97231302
CUW,..
CYP,10.7034632
CZE,40.61124061
DNK,55.98952131
DJI,0.086281277
DMA,8
DOM,16.55971848
ECU,4.297793526
EGY,2.909096389
SLV,36.1969112
GNQ,4.278074866
ERI,6.831683168
EST,15.79853739
ETH,15.119
FRO,2.148997135
FJI,9.031198686
FIN,7.378171169
FRA,33.74753679
PYF,0.683060109
GAB,1.261303217
GMB,43.47826087
GEO,6.446970787
DEU,33.96501165
GHA,20.65570889
GIB,..
GRC,17.25368503
GRL,0.002192715
GRD,8.823529412
GUM,1.851851852
GTM,8.714072415
GIN,12.61598567
GNB,10.6685633
GUY,2.133604267
HTI,38.82438316
HND,9.116096166
HKG,2.952380952
HUN,48.7374351
ISL,1.206982544
IND,52.62462204
IDN,12.97217331
IRN,9.017289226
IRQ,11.59053233
IRL,14.93685586
IMN,40.70175439
ISR,13.73382625
ITA,22.44169443
JAM,11.08033241
JPN,11.52348036
JOR,2.570398738
KAZ,10.88824684
KEN,10.19081421
KIR,2.469135802
PRK,19.51665144
KOR,15.02359458
XKX,..
KWT,0.432098765
KGZ,6.676746611
LAO,6.60745234
LVA,19.77806369
LBN,12.90322581
LSO,8.969038208
LBR,5.1910299
LBY,0.977528218
LIE,13.5
LTU,34.68856751
LUX,24.24710425
MAC,..
MKD,16.45519429
MDG,6.015812994
MWI,40.30547306
MYS,2.90366763
MDV,13
MLI,5.254099771
MLT,28.03125
MHL,11.11111111
MRT,0.436596488
MUS,36.45320197
MEX,11.78687723
FSM,2.857142857
MDA,55.45786431
MCO,..
MNG,0.365096939
MNE,0.646840149
MAR,18.21644634
MOZ,7.184821588
MMR,16.65798983
NAM,0.971711062
NRU,..
NPL,14.74502965
NLD,30.66191748
NCL,0.341356674
NZL,2.240704873
NIC,12.49792255
NER,13.26280887
NGA,37.33104955
MNP,2.173913043
NOR,2.205642788
OMN,0.122778675
PAK,39.48733914
PLW,2.173913043
PAN,7.573311811
PNG,0.662456388
PRY,12.08155047
PER,3.2434375
PHL,18.74769427
POL,35.5563539
PRT,12.36141737
PRI,6.877113867
QAT,1.12833764
ROU,38.06067455
RUS,7.518031223
RWA,46.68423186
WSM,2.826855124
SMR,16.66666667
STP,9.0625
SAU,1.629072099
SEN,16.62078637
SRB,29.62497142
SYC,0.326086957
SLE,21.94513716
SGP,0.789844852
SXM,..
SVK,28.75296369
SVN,9.138530288
SLB,0.714540907
SOM,1.753435139
ZAF,10.30426432
SSD,..
ESP,24.66445703
LKA,20.73034604
KNA,19.23076923
LCA,4.918032787
MAF,..
VCT,12.82051282
SDN,8.343080808
SUR,0.416666667
SWZ,10.1744186
SWE,6.336696865
CHE,10.07946148
SYR,25.3880085
TJK,5.259896531
TZA,15.2404606
THA,32.90336472
TLS,10.42367182
TGO,48.72219158
TON,25
TTO,4.873294347
TUN,18.66632338
TUR,26.82457804
TKM,4.128274424
TCA,1.052631579
TUV,..
UGA,34.41053262
UKR,56.17484282
ARE,0.448564593
GBR,24.84602984
USA,16.64540384
URY,13.77328305
UZB,10.34320639
VUT,1.640689089
VEN,3.061050961
VNM,22.5690973
VIR,2.857142857
PSE,10.63122924
YEM,2.363770669
ZMB,5.111717941
ZWE,10.33992504
