Country,prevalence_undernourishment
Aruba,11.11111111
Afghanistan,11.89382103
Angola,3.930376193
Albania,22.44890511
Andorra,1.723404255
Arab World,4.369313548
United Arab Emirates,0.448564593
Argentina,14.323873
Armenia,15.69020021
American Samoa,15
Antigua and Barbuda,9.090909091
Australia,6.004191453
Austria,16.3118161
Azerbaijan,23.44095907
Burundi,46.72897196
Belgium,27.39431968
Benin,23.94466123
Burkina Faso,21.92982456
Bangladesh,59.64669279
Bulgaria,32.32958732
Bahrain,2.075226978
"Bahamas, The",0.799200799
Bosnia and Herzegovina,20.09765625
Belarus,28.01734759
Belize,3.419552828
Bermuda,6
Bolivia,4.128588572
Brazil,9.573541482
Barbados,25.58139535
Brunei Darussalam,0.948766603
Bhutan,2.628748328
Botswana,0.70403896
Central African Republic,2.889338342
Canada,4.795332055
Central Europe and the Baltics,33.6828723
Switzerland,10.07946148
Channel Islands,20.52631579
Chile,1.765895752
China,12.6754714
Cote d'Ivoire,9.119496855
Cameroon,13.11586385
"Congo, Dem. Rep.",3.131823295
"Congo, Rep.",1.610541728
Colombia,1.521946823
Comoros,34.92745836
Cabo Verde,12.40694789
Costa Rica,4.543674109
Caribbean small states,1.859948129
Cuba,28.97231302
Curacao,
Cayman Islands,0.833333333
Cyprus,10.7034632
Czech Republic,40.61124061
Germany,33.96501165
Djibouti,0.086281277
Dominica,8
Denmark,55.98952131
Dominican Republic,16.55971848
Algeria,3.133045589
East Asia & Pacific (excluding high income),12.10725442
Early-demographic dividend,13.0669659
East Asia & Pacific,10.07349426
Europe & Central Asia (excluding high income),10.68346838
Europe & Central Asia,12.31587224
Ecuador,4.297793526
"Egypt, Arab Rep.",2.909096389
Euro area,24.23768108
Eritrea,6.831683168
Spain,24.66445703
Estonia,15.79853739
Ethiopia,15.119
European Union,25.34288418
Fragile and conflict affected situations,6.158153139
Finland,7.378171169
Fiji,9.031198686
France,33.74753679
Faroe Islands,2.148997135
"Micronesia, Fed. Sts.",2.857142857
Gabon,1.261303217
United Kingdom,24.84602984
Georgia,6.446970787
Ghana,20.65570889
Gibraltar,
Guinea,12.61598567
"Gambia, The",43.47826087
Guinea-Bissau,10.6685633
Equatorial Guinea,4.278074866
Greece,17.25368503
Grenada,8.823529412
Greenland,0.002192715
Guatemala,8.714072415
Guam,1.851851852
Guyana,2.133604267
High income,10.05956745
"Hong Kong SAR, China",2.952380952
Honduras,9.116096166
Heavily indebted poor countries (HIPC),8.344510453
Croatia,15.08398856
Haiti,38.82438316
Hungary,48.7374351
IBRD only,11.61992806
IDA & IBRD total,11.31353055
IDA total,10.50530186
IDA blend,14.87185749
Indonesia,12.97217331
IDA only,9.232568302
Isle of Man,40.70175439
India,52.62462204
Not classified,
Ireland,14.93685586
"Iran, Islamic Rep.",9.017289226
Iraq,11.59053233
Iceland,1.206982544
Israel,13.73382625
Italy,22.44169443
Jamaica,11.08033241
Jordan,2.570398738
Japan,11.52348036
Kazakhstan,10.88824684
Kenya,10.19081421
Kyrgyz Republic,6.676746611
Cambodia,21.52730569
Kiribati,2.469135802
St. Kitts and Nevis,19.23076923
"Korea, Rep.",15.02359458
Kuwait,0.432098765
Latin America & Caribbean (excluding high income),8.987287144
Lao PDR,6.60745234
Lebanon,12.90322581
Liberia,5.1910299
Libya,0.977528218
St. Lucia,4.918032787
Latin America & Caribbean,8.754976338
Least developed countries: UN classification,8.733353004
Low income,9.524532587
Liechtenstein,13.5
Sri Lanka,20.73034604
Lower middle income,17.43622809
Low & middle income,11.3357893
Lesotho,8.969038208
Late-demographic dividend,9.702451789
Lithuania,34.68856751
Luxembourg,24.24710425
Latvia,19.77806369
"Macao SAR, China",
St. Martin (French part),
Morocco,18.21644634
Monaco,
Moldova,55.45786431
Madagascar,6.015812994
Maldives,13
Middle East & North Africa,4.723223472
Mexico,11.78687723
Marshall Islands,11.11111111
Middle income,11.63384543
