Data Source	World Development Indicators							
								
Last Updated Date	1/25/18							
								
Country Name	Country Code	Indicator Name	Indicator Code	2011	2012	2013	2014	2015
Aruba	ABW	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Afghanistan	AFG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	22.2	22.7	23.4	23.8	23
Angola	AGO	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	17.9	16.7	15.3	14.4	14
Albania	ALB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6.7	6	5.5	5.1	4.9
Andorra	AND	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Arab World	ARB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	9.184773224	10.7538604	10.63804426	10.69056089	11.03334591
United Arab Emirates	ARE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.6	5.1	4.6	4	3.8
Argentina	ARG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3.9	3.7	3.6	3.4	3.6
Armenia	ARM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.7	5.2	4.6	4.2	4.4
American Samoa	ASM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Antigua and Barbuda	ATG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	27.8	27.8	27.1	27.2	26.7
Australia	AUS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Austria	AUT	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Azerbaijan	AZE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Burundi	BDI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Belgium	BEL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Benin	BEN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.7	11.3	10.8	10	10.3
Burkina Faso	BFA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	20.7	20.2	19.9	19.1	20.2
Bangladesh	BGD	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	16.9	16.8	16.4	16	15.1
Bulgaria	BGR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.4	5	4.4	3.8	3.4
Bahrain	BHR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
"Bahamas, The"	BHS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.9	11.2	10.7	10.3	10
Bosnia and Herzegovina	BIH	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Belarus	BLR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Belize	BLZ	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.8	6.2	6.3	6.3	6.2
Bermuda	BMU	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	12.2	12.5	12.6	12.5	12.8
Bolivia	BOL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	24.6	23.1	21.9	20.8	20.2
Brazil	BRA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Barbados	BRB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.9	4.8	4.6	4.5	4.4
Brunei Darussalam	BRN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3	2.8	2.6	2.5	2.5
Bhutan	BTN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Botswana	BWA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	26.6	25.1	24.6	24.6	26
Central African Republic	CAF	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	35.6	40.9	48.6	55.1	58.6
Canada	CAN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Central Europe and the Baltics	CEB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.794133895	2.758864527	2.700812271	2.635163904	2.594079838
Switzerland	CHE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Channel Islands	CHI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Chile	CHL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.1	3.9	3.8	3.8	3.7
China	CHN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.3	10.8	10.3	9.9	9.6
Cote d'Ivoire	CIV	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	16	15.6	15.2	15.1	15.4
Cameroon	CMR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	10.2	9.1	8.3	7.9	7.9
"Congo, Dem. Rep."	COD	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
"Congo, Rep."	COG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	29.2	28.3	27.3	27.1	28.2
Colombia	COL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	10.9	10	8.8	7.7	7.1
Comoros	COM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Cabo Verde	CPV	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	15.5	15.1	14.6	14.1	13.7
Costa Rica	CRI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.2	5.4	5.6	5.7	5.6
Caribbean small states	CSS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	9.541144337	9.307819669	9.119894479	8.767809364	8.165319285
Cuba	CUB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Curacao	CUW	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Cayman Islands	CYM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Cyprus	CYP	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.4	4.5	4.7	4.8	4.7
Czech Republic	CZE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Germany	DEU	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Djibouti	DJI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	21.2	19.4	17.2	14.7	12.8
Dominica	DMA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.6	5.9	6.1	6	5.8
Denmark	DNK	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Dominican Republic	DOM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	14.6	13.8	13.6	13.7	13.5
Algeria	DZA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.6	5	4.7	4.6	4.6
East Asia & Pacific (excluding high income)	EAP	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.74104345	11.15992652	10.65016914	10.24661586	10.20121843
